generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Oahu_Battery_Reg,Oahu_Battery_Reg,Battery_Reg,Oahu,Battery,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_Battery_Reg,Oahu_Battery_Reg,Battery_Reg,Oahu,Battery,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2025,1175.6627269997223,5713862.401129922,659706.7363624647,150.586,20580635.741717476,2818254.9446591907,24.76284432509142,0.8912387197907892,,
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2030,851.2166945154502,4137015.6204731613,477649.7332327519,150.586,20580635.741717476,2818254.9446591907,32.3488795324021,0.6452847910050961,,
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2035,636.0442775029917,3091251.7673778804,357081.0425476938,150.586,20580635.741717476,2818254.9446591907,41.64826788120884,0.48216829078069234,,
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2040,528.4961810952525,2568555.0702175377,297253.788332139,150.586,20580635.741717476,2818254.9446591907,49.134594885396154,0.4006389324391375,,
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2045,337.19250261347986,1638796.1601393186,0.0,150.586,20580635.741717476,2818254.9446591907,74.25339131936872,0.2556166895919301,,
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2050,313.906562971114,1525623.6898875453,0.0,150.586,20580635.741717476,2818254.9446591907,79.40106170560627,0.23796423658872065,,
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2020,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,,
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2023,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,,
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2025,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,,
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2030,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,,
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2035,3.2081843191196704,14186.203678976493,4055.280436038515,113.0,4008559.9753119107,1694967.0099513936,1782.227147881337,0.0032409830677654567,,
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2040,3.2081843191196704,14186.203678976493,4055.28043603851,113.0,4008559.9753119107,1694967.0099513936,1782.227147881337,0.0032409830677654567,,
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2045,19.06233837689137,84291.35857329896,0.0,113.0,4008559.9753119107,1694967.0099513936,303.6258317003216,0.019257221458046803,,
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2050,19.06233837689136,84291.35857329893,0.0,113.0,4008559.9753119107,1694967.0099513936,303.6258317003218,0.019257221458046796,,
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2020,63.76180012905492,0.0,0.0,27.6,8949254.244813267,670995.3662553601,150.87794873414936,0.2637226198177441,,
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2023,63.76180012905492,0.0,0.0,27.6,8949254.244813267,670995.3662553601,150.8779487341493,0.2637226198177442,,
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2025,63.761800129054905,0.0,0.0,27.6,8949254.244813267,670995.3662553601,150.87794873414933,0.26372261981774414,,
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2030,607.0547018900934,0.0,0.0,272.066085442376,34850843.74646492,3162333.5321467407,62.619031135506944,0.2547119455857405,,
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2035,578.2186967540646,0.0,0.0,272.066085442376,34850843.74646492,3162333.5321467407,65.74186807172703,0.24261274769097135,,
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2040,586.3353232654349,0.0,0.0,272.066085442376,34850843.74646492,3162333.5321467407,64.83180489094126,0.24601837443905028,,
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2045,500.58249162951427,0.0,0.0,272.066085442376,34850843.74646492,3162333.5321467407,75.9378881887574,0.21003764565552407,,
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2050,552.4443269708655,0.0,0.0,272.066085442376,28317484.60864668,2722637.272348604,56.18687778222447,0.2317981705972031,,
Oahu_CentralTrackingPV_PV_02,Oahu_CentralTrackingPV_PV_02,CentralTrackingPV,Oahu,SUN,2020,23.125914932471805,0.0,0.0,10.0,2468170.7323501906,204018.4392641725,115.54955466268972,0.2639944626994497,,
Oahu_CentralTrackingPV_PV_02,Oahu_CentralTrackingPV_PV_02,CentralTrackingPV,Oahu,SUN,2023,23.1259149324718,0.0,0.0,10.0,2468170.7323501906,204018.4392641725,115.54955466268969,0.2639944626994498,,
