load_zone,period,AES,Airport_DSG,Battery_Bulk,CC_152,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,Hawaii_Cogen,IC_Barge,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,fuel cells
Oahu,2020,180.0,0.0,0.0,0.0,0.0,185.7,38.097,370.7,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,99.0,303.299999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0
Oahu,2023,0.0,0.0,426.5,0.0,0.0,450.7,63.893,442.21299999999997,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,123.0,303.299999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1,0.0,0.0,0
Oahu,2025,0.0,0.0,598.5,150.586,0.0,777.7,72.167,489.62199999999996,73.0,12.2,0.0,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,123.0,303.299999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oahu,2030,0.0,0.0,598.5,150.586,0.0,1572.2900012038972,105.554,631.3519999999999,73.0,12.2,0.0,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,323.0,303.299999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0
Oahu,2035,0.0,0.0,598.5,150.586,113.0,1912.357424447654,150.443,793.5249999999999,73.0,12.2,0.0,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0
Oahu,2040,0.0,0.0,618.3525344434206,150.586,113.0,2147.3572579451784,199.16500000000002,958.8589999999999,73.0,12.2,0.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0
Oahu,2045,0.0,8.0,886.5866037209192,150.586,113.0,3211.7816543707545,250.288,1318.7649999999994,73.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,323.0,113.68999999999964,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0
Oahu,2050,0.0,8.0,943.739079557549,150.586,113.0,3608.1881783097124,250.28799999999998,1265.625105285036,73.0,0.0,16.786392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,323.0,166.82989471496344,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0
