gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
CIP_CT,multiple,2045,19.06233837689136,84291.35857329893,0.0,113.0,4008559.9753119107,1694967.0099513936,303.6258317003218,0.019257221458046796,0.0,0.0
CIP_CT,multiple,2050,27.1184456671252,119914.49225606213,0.0,113.0,4008559.9753119107,1694967.0099513936,214.74097553382018,0.02739569005043561,0.0,0.0
CentralTrackingPV,SUN,2020,432.9359325474177,0.0,0.0,185.7,40336367.23039165,3462172.287805924,101.16633022462395,0.2661384496938755,0.0,0.0
CentralTrackingPV,SUN,2023,1085.3272397135945,0.0,0.0,450.7,80002762.85529724,7331666.194188739,80.46829182370149,0.27489639143615124,0.0,0.0
CentralTrackingPV,SUN,2025,1872.0771075405614,0.0,0.0,777.7,125215272.37462886,11694368.948366323,73.13247983832245,0.27479417817621704,0.0,0.0
CentralTrackingPV,SUN,2030,4236.15187025375,0.0,0.0,1922.745861947916,246529796.3798762,23363457.739986278,63.71189286556328,0.25150436684995114,0.0,0.0
CentralTrackingPV,SUN,2035,4507.855690046761,0.0,0.0,2038.364043075203,258159365.65692395,24489382.551029053,62.70137458748617,0.2524551000373877,0.0,0.0
CentralTrackingPV,SUN,2040,4814.848117094467,0.0,0.0,2195.6371926918664,273263946.4994797,25949768.97211486,62.1439572328931,0.25033288643716567,0.0,0.0
CentralTrackingPV,SUN,2045,5862.751382472774,0.0,0.0,3441.7563496386692,383460844.63056266,36771043.33409729,71.67827194940949,0.19445416480946587,0.0,0.0
CentralTrackingPV,SUN,2050,4451.625211739053,0.0,0.0,3441.756349638669,363145963.0495911,35056284.06030167,89.45098209521836,0.14765031060013561,0.0,0.0
DistBattery,Battery,2020,-6.054779902071604,0.0,0.0,38.097,1358279.7920672877,1441376.0452705438,51.376412660166736,0.16328488550149026,60.54779902071602,54.493019118644426
DistBattery,Battery,2023,-9.627855468562206,0.0,0.0,63.893,2107072.92966046,2235978.525328866,50.12136652365597,0.1548155874777298,96.27855468562203,86.65069921705982
DistBattery,Battery,2025,-10.573461993053687,0.0,0.0,72.167,2310698.992901678,2452061.9357298473,50.049421758407505,0.15052788508978254,105.73461993053688,95.1611579374832
DistBattery,Battery,2030,-16.730893342988097,0.0,0.0,105.554,2979467.0924941036,3161743.6406505327,40.78423872166735,0.1628481533861532,167.30893342988094,150.57804008689283
DistBattery,Battery,2035,-22.95450196416386,0.0,0.0,150.443,3179570.508508658,3374088.896837558,31.722943913513358,0.1567596526853057,229.54501964163836,206.5905176774745
DistBattery,Battery,2040,-30.81658734494085,0.0,0.0,199.16500000000002,3678242.074702574,3903267.976263823,27.335603265662304,0.15896807877481386,308.1658734494085,277.34928610446764
DistBattery,Battery,2045,-26.560144739942416,0.0,0.0,250.288,4384875.885388151,4653131.92436118,37.80939824706413,0.10902568216733113,265.60144739942393,239.0413026594815
DistBattery,Battery,2050,-22.03059482488575,0.0,0.0,250.28799999999998,4073199.243771782,4322387.664069669,42.343068681305986,0.09043251280642126,220.30594824885736,198.27535342397164
FlatDistPV,SUN,2020,655.7206100977032,0.0,0.0,370.7,100723863.79825702,3146724.3657138525,158.4067765515164,0.2019259533973437,0.0,0.0
FlatDistPV,SUN,2023,782.1373699076771,0.0,0.0,442.21299999999997,114126961.1421768,3963270.1371173095,150.98400335126982,0.20190516309788323,0.0,0.0
FlatDistPV,SUN,2025,865.9444003193655,0.0,0.0,489.62199999999996,122194296.36106294,4454749.702656982,146.2554016366535,0.20189472795968783,0.0,0.0
FlatDistPV,SUN,2030,935.7411563142992,0.0,0.0,631.3519999999999,140197074.78567082,5551518.025599551,155.757382079191,0.16919209363801113,0.0,0.0
FlatDistPV,SUN,2035,1184.3403101197634,0.0,0.0,793.5249999999999,159597533.9511505,6733436.091877277,140.44187183513827,0.17037732338462658,0.0,0.0
FlatDistPV,SUN,2040,1271.1549273337673,0.0,0.0,861.5363539656881,167230767.15411237,7198469.220719132,137.22106772672842,0.168430512887431,0.0,0.0
FlatDistPV,SUN,2045,1066.1474431614934,0.0,0.0,868.289640980531,146828675.1941864,7838099.8132294165,145.0707179382015,0.14016789258315393,0.0,0.0
FlatDistPV,SUN,2050,776.7816228757131,0.0,0.0,868.289640980531,104029276.54724333,6337689.243549859,142.08235949533028,0.10212456426565616,0.0,0.0
H-Power,MSW,2020,374.92800000000017,58778202.42245316,0.0,73.0,12417915.58380562,5952591.532472232,205.7693998280496,0.5863013698630137,0.0,0.0
H-Power,MSW,2023,374.9280000000001,58778202.42245315,0.0,73.0,12417915.58380562,5952591.532472232,205.76939982804956,0.5863013698630138,0.0,0.0
H-Power,MSW,2025,374.9280000000001,58778202.42245314,0.0,73.0,12417915.58380562,5952591.532472232,205.7693998280495,0.5863013698630138,0.0,0.0
H-Power,MSW,2030,374.9280000000001,58778202.42245314,0.0,73.0,12417915.58380562,5952591.532472232,205.7693998280495,0.5863013698630138,0.0,0.0
H-Power,MSW,2035,374.9280000000001,58778202.42245314,0.0,73.0,12417915.58380562,5952591.532472232,205.7693998280495,0.5863013698630138,0.0,0.0
H-Power,MSW,2040,374.9280000000001,58778202.42245314,0.0,73.0,12417915.58380562,5952591.532472232,205.7693998280495,0.5863013698630138,0.0,0.0
H-Power,MSW,2045,374.9280000000001,58778202.42245314,0.0,73.0,12417915.58380562,5952591.532472232,205.7693998280495,0.5863013698630138,0.0,0.0
H-Power,MSW,2050,374.9280000000001,58778202.42245314,0.0,73.0,12417915.58380562,5952591.532472232,205.7693998280495,0.5863013698630138,0.0,0.0
Hawaii_Cogen,multiple,2020,92.74499999999998,5496965.903701579,34628.99290000002,12.2,415880.8885206141,230895.72025838512,66.24338252715057,0.8678138333707607,0.0,0.0
Hawaii_Cogen,multiple,2023,92.74499999999998,5496965.903701577,34628.99290000001,12.2,415880.8885206141,230895.72025838512,66.24338252715053,0.8678138333707611,0.0,0.0
Hawaii_Cogen,multiple,2025,92.74499999999996,5496965.903701577,34628.99290000001,12.2,415880.8885206141,230895.72025838512,66.24338252715053,0.867813833370761,0.0,0.0
Hawaii_Cogen,multiple,2030,92.74499999999996,5496965.903701577,34628.99290000001,12.2,415880.8885206141,230895.72025838512,66.24338252715053,0.867813833370761,0.0,0.0
Hawaii_Cogen,multiple,2035,92.74499999999996,5496965.903701577,34628.99290000001,12.2,415880.8885206141,230895.72025838512,66.24338252715053,0.867813833370761,0.0,0.0
Hawaii_Cogen,multiple,2040,92.74499999999996,5496965.903701577,34628.99290000001,12.2,415880.8885206141,230895.72025838512,66.24338252715053,0.867813833370761,0.0,0.0
IC_Barge,multiple,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Barge,multiple,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_MCBH,multiple,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_Schofield,multiple,2020,1.1606497936726272,26332.564940014196,0.0,48.84,10604469.729631249,1821761.901489024,10728.95912612608,0.0027128228641296027,0.0,0.0
IC_Schofield,multiple,2023,0.8987134312345956,20389.81087961408,336.9205030914428,48.84,10604469.729631249,1821761.901489024,13849.377353692715,0.0021005908568155532,0.0,0.0
IC_Schofield,multiple,2025,0.0,0.0,0.0,48.84,10604469.729631249,1821761.901489024,0.0,0.0,0.0,0.0
IC_Schofield,multiple,2030,1.0769393015638187,24433.359872617704,403.73596151042074,48.84,10604469.729631249,1821761.901489024,11561.157599981105,0.0025171637271545013,0.0,0.0
IC_Schofield,multiple,2035,0.0,0.0,0.0,48.84,10604469.729631249,1821761.901489024,0.0,0.0,0.0,0.0
IC_Schofield,multiple,2040,6.713732179428177,152319.66573245332,2379.9961422255487,48.84,10604469.729631249,1821761.901489024,1873.5557154625822,0.015692215049953852,0.0,0.0
IC_Schofield,multiple,2045,17.52417716643743,397584.6424745809,0.0,48.84,10604469.729631249,1821761.901489024,731.7785110136421,0.04095980437108363,0.0,0.0
IC_Schofield,multiple,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kahe_1,multiple,2020,331.9496860974526,3475392.0620621154,276625.07009267155,82.1,2872396.971693493,876086.9790375899,21.761960668558782,0.46155663560066035,0.0,0.0
Kahe_1,multiple,2023,59.326187931073065,621123.5354129134,50215.40200430271,82.1,2872396.971693493,876086.9790375899,73.6539399973033,0.08248959662049436,0.0,0.0
Kahe_1,multiple,2025,36.776853975184814,385040.2387048852,30064.96509023399,82.1,2872396.971693493,876086.9790375899,112.39471957620579,0.05113606579456061,0.0,0.0
Kahe_1,multiple,2030,13.346448418156779,139732.44389683276,12426.99027374878,82.1,2872396.971693493,876086.9790375899,291.3296685984494,0.018557456407094563,0.0,0.0
Kahe_2,multiple,2020,329.09774036686656,3445533.231134947,270260.16412563494,82.1,2875035.5180343785,876086.9790375899,21.86783695380083,0.4575911717624493,0.0,0.0
Kahe_2,multiple,2023,508.987984031081,5328918.427918926,403581.1650209264,82.1,2875035.5180343785,876086.9790375899,17.83940134122385,0.7077180407442214,0.0,0.0
Kahe_2,multiple,2025,306.42826666426515,3208192.1151261264,243858.63370817498,82.1,2875035.5180343785,876086.9790375899,22.711072604222217,0.4260705936410452,0.0,0.0
Kahe_2,multiple,2030,3.4624291609353555,36250.369635338146,3221.3750326574745,82.1,2875035.5180343785,876086.9790375899,1093.848477663632,0.004814305364511698,0.0,0.0
