load_zone,technology,period,capacity
Oahu,Kalaeloa_CC2,2023,90.0
Oahu,Kalaeloa_CC2,2025,90.0
Oahu,Kalaeloa_CC2,2030,90.0
Oahu,Kalaeloa_CC2,2035,90.0
Oahu,Kalaeloa_CC2,2040,90.0
Oahu,Kalaeloa_CC2,2045,90.0
Oahu,Kalaeloa_CC2,2050,90.0
Oahu,Kalaeloa_CC3,2020,28.0
Oahu,Kalaeloa_CC3,2023,28.0
Oahu,Kalaeloa_CC3,2025,28.0
Oahu,Kalaeloa_CC3,2030,28.0
Oahu,Kalaeloa_CC3,2035,28.0
Oahu,Kalaeloa_CC3,2040,28.0
Oahu,Kalaeloa_CC3,2045,28.0
Oahu,Kalaeloa_CC3,2050,28.0
Oahu,OffshoreWind,2020,0.0
Oahu,OffshoreWind,2023,0.0
Oahu,OffshoreWind,2025,0.0
Oahu,OffshoreWind,2030,0.0
Oahu,OffshoreWind,2035,0.0
Oahu,OffshoreWind,2040,0.0
Oahu,OffshoreWind,2045,278.90390083355135
Oahu,OffshoreWind,2050,970.531248650081
Oahu,OnshoreWind,2020,99.0
Oahu,OnshoreWind,2023,123.0
Oahu,OnshoreWind,2025,123.0
Oahu,OnshoreWind,2030,323.0
Oahu,OnshoreWind,2035,323.0
Oahu,OnshoreWind,2040,323.0
Oahu,OnshoreWind,2045,323.0
Oahu,OnshoreWind,2050,323.0
Oahu,SlopedDistPV,2020,303.299999999999
Oahu,SlopedDistPV,2023,303.299999999999
Oahu,SlopedDistPV,2025,303.299999999999
Oahu,SlopedDistPV,2030,303.299999999999
Oahu,SlopedDistPV,2035,303.299999999999
Oahu,SlopedDistPV,2040,400.6226460343108
Oahu,SlopedDistPV,2045,564.1653590194679
Oahu,SlopedDistPV,2050,564.165359019468
Oahu,Tesoro_Hawaii,2020,20.0
Oahu,Tesoro_Hawaii,2023,20.0
Oahu,Tesoro_Hawaii,2025,20.0
Oahu,Tesoro_Hawaii,2030,20.0
Oahu,Tesoro_Hawaii,2035,20.0
Oahu,Tesoro_Hawaii,2040,20.0
Oahu,Tesoro_Hawaii,2045,0.0
Oahu,Tesoro_Hawaii,2050,0.0
Oahu,Waiau_10,2020,49.9
Oahu,Waiau_10,2023,49.9
Oahu,Waiau_10,2025,49.9
Oahu,Waiau_10,2030,49.9
Oahu,Waiau_10,2035,49.9
Oahu,Waiau_10,2040,49.9
Oahu,Waiau_10,2045,49.9
Oahu,Waiau_10,2050,49.9
Oahu,Waiau_3,2020,46.6
Oahu,Waiau_3,2023,0.0
Oahu,Waiau_3,2025,0.0
Oahu,Waiau_3,2030,0.0
Oahu,Waiau_3,2035,0.0
Oahu,Waiau_3,2040,0.0
Oahu,Waiau_3,2045,0.0
Oahu,Waiau_3,2050,0.0
Oahu,Waiau_4,2020,46.6
Oahu,Waiau_4,2023,0.0
Oahu,Waiau_4,2025,0.0
Oahu,Waiau_4,2030,0.0
Oahu,Waiau_4,2035,0.0
Oahu,Waiau_4,2040,0.0
Oahu,Waiau_4,2045,0.0
Oahu,Waiau_4,2050,0.0
Oahu,Waiau_5,2020,54.5
Oahu,Waiau_5,2023,54.5
Oahu,Waiau_5,2025,54.5
Oahu,Waiau_5,2030,0.0
Oahu,Waiau_5,2035,0.0
Oahu,Waiau_5,2040,0.0
Oahu,Waiau_5,2045,0.0
Oahu,Waiau_5,2050,0.0
Oahu,Waiau_6,2020,53.5
Oahu,Waiau_6,2023,53.5
Oahu,Waiau_6,2025,53.5
Oahu,Waiau_6,2030,0.0
Oahu,Waiau_6,2035,0.0
Oahu,Waiau_6,2040,0.0
Oahu,Waiau_6,2045,0.0
Oahu,Waiau_6,2050,0.0
Oahu,Waiau_7,2020,82.9
Oahu,Waiau_7,2023,82.9
Oahu,Waiau_7,2025,82.9
Oahu,Waiau_7,2030,82.9
