GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_AES,1993,2395935.70899441,.,81542.3497598936
Oahu_Airport_DSG,2013,574324.697098231,.,8418.68374650717
Oahu_Battery_Bulk,2020,346272.71269587,397711.775089097,37834.3713486769
Oahu_Battery_Bulk,2021,324822.545950561,373075.170530173,35490.6880482667
Oahu_Battery_Bulk,2022,303372.379205252,348438.565971249,33147.0047478564
Oahu_Battery_Bulk,2023,281922.212459943,323801.961412326,30803.3214474462
Oahu_Battery_Bulk,2024,260472.045714634,299165.356853402,28459.638147036
Oahu_Battery_Bulk,2025,239021.878969325,274528.752294479,26115.9548466258
Oahu_Battery_Bulk,2026,230126.313780187,264311.744450432,25144.0096012092
Oahu_Battery_Bulk,2027,221230.748591048,254094.736606385,24172.0643557927
Oahu_Battery_Bulk,2028,212335.183401909,243877.728762338,23200.1191103762
Oahu_Battery_Bulk,2029,203439.618212771,233660.720918291,22228.1738649597
Oahu_Battery_Bulk,2030,194544.053023632,223443.713074244,21256.2286195431
Oahu_Battery_Bulk,2031,192112.252360837,220650.666660816,20990.5257617988
Oahu_Battery_Bulk,2032,189680.451698041,217857.620247388,20724.8229040546
Oahu_Battery_Bulk,2033,187248.651035246,215064.57383396,20459.1200463103
Oahu_Battery_Bulk,2034,184816.85037245,212271.527420532,20193.417188566
Oahu_Battery_Bulk,2035,182385.049709655,209478.481007104,19927.7143308217
Oahu_Battery_Bulk,2036,179953.24904686,206685.434593676,19662.0114730774
Oahu_Battery_Bulk,2037,177521.448384064,203892.388180248,19396.3086153331
Oahu_Battery_Bulk,2038,175089.647721269,201099.34176682,19130.6057575888
Oahu_Battery_Bulk,2039,172657.847058474,198306.295353392,18864.9028998445
Oahu_Battery_Bulk,2040,170226.046395678,195513.248939964,18599.2000421002
Oahu_Battery_Bulk,2041,167794.245732883,192720.202526536,18333.497184356
Oahu_Battery_Bulk,2042,165362.445070087,189927.156113108,18067.7943266117
Oahu_Battery_Bulk,2043,162930.644407292,187134.109699679,17802.0914688674
Oahu_Battery_Bulk,2044,160498.843744497,184341.063286251,17536.3886111231
Oahu_Battery_Bulk,2045,158067.043081701,181548.016872823,17270.6857533788
