owner,variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
PPA,total_output,3810164.033578543,3810164.033578543,3810164.033578543,3791390.704439552,3791390.704439552,4578140.572266519,4578140.572266519,4578140.572266519,4578140.572266519,4578140.572266519,6914745.86916967,6914745.86916967,6914745.86916967,6914745.86916967,6914745.86916967,7278845.912041393,7278845.912041393,7278845.912041393,7278845.912041393,7278845.912041393,7544570.343386242,7544570.343386242,7544570.343386242,7544570.343386242,7544570.343386242,8399118.904127313,8399118.904127313,8399118.904127313,8399118.904127313,8399118.904127313
PPA,variable_om,79706197.1547124,79706197.1547124,79706197.1547124,74914172.36031717,74914172.36031717,74914172.36031725,74914172.36031725,74914172.36031725,74914172.36031725,74914172.36031725,74549486.65001674,74549486.65001674,74549486.65001674,74549486.65001674,74549486.65001674,74408159.31520808,74408159.31520808,74408159.31520808,74408159.31520808,74408159.31520808,74375250.68195698,74375250.68195698,74375250.68195698,74375250.68195698,74375250.68195698,58876466.73237474,58876466.73237474,58876466.73237474,58876466.73237474,58876466.73237474
distributed,amortized_cost,228934542.09592152,228934542.09592152,228934542.09592152,246526540.1805799,246526540.1805799,255733000.91267055,255733000.91267055,255733000.91267055,255733000.91267055,255733000.91267055,277477003.7784766,277477003.7784766,277477003.7784766,277477003.7784766,277477003.7784766,297996882.0538348,297996882.0538348,297996882.0538348,297996882.0538348,297996882.0538348,320230918.0522642,320230918.0522642,320230918.0522642,320230918.0522642,320230918.0522642,252614023.39472914,252614023.39472914,252614023.39472914,252614023.39472914,252614023.39472914
distributed,capacity_added,179.09699999999987,0.0,0.0,97.309,0.0,55.683,0.0,0.0,0.0,0.0,175.117,0.0,0.0,0.0,0.0,245.159,0.0,0.0,0.0,0.0,248.12599999999998,0.0,0.0,0.0,0.0,537.8059999999994,0.0,0.0,0.0,0.0
distributed,capacity_in_place,712.0969999999991,712.0969999999991,712.0969999999991,809.4059999999992,809.4059999999992,865.0889999999991,865.0889999999991,865.0889999999991,865.0889999999991,865.0889999999991,1040.2059999999992,1040.2059999999992,1040.2059999999992,1040.2059999999992,1040.2059999999992,1247.267999999999,1247.267999999999,1247.267999999999,1247.267999999999,1247.267999999999,1461.3239999999992,1461.3239999999992,1461.3239999999992,1461.3239999999992,1461.3239999999992,1682.742999999999,1682.742999999999,1682.742999999999,1682.742999999999,1682.742999999999
distributed,capacity_retired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.097,0.0,0.0,0.0,0.0,34.07,0.0,0.0,0.0,0.0,316.3869999999993,0.0,0.0,0.0,0.0
distributed,capital_outlay,397575014.5224024,0.0,0.0,225175018.82501844,0.0,122108977.74296203,0.0,0.0,0.0,0.0,284140908.5643432,0.0,0.0,0.0,0.0,351714575.3088206,0.0,0.0,0.0,0.0,346489502.3613359,0.0,0.0,0.0,0.0,772417874.7083106,0.0,0.0,0.0,0.0
distributed,fixed_om,5739491.066182397,5739491.066182397,5739491.066182397,7350639.317644177,7350639.317644177,8058202.29358483,8058202.29358483,8058202.29358483,8058202.29358483,8058202.29358483,9864652.321448086,9864652.321448086,9864652.321448086,9864652.321448086,9864652.321448086,11258915.643912839,11258915.643912839,11258915.643912839,11258915.643912839,11258915.643912839,13005804.934238745,13005804.934238745,13005804.934238745,13005804.934238745,13005804.934238745,16963821.126691844,16963821.126691844,16963821.126691844,16963821.126691844,16963821.126691844
distributed,renewable_output,1166153.6553163596,1166153.6553163596,1166153.6553163596,1292570.4151263335,1292570.4151263335,1376377.4455380216,1376377.4455380216,1376377.4455380216,1376377.4455380216,1376377.4455380216,1404827.18545912,1404827.18545912,1404827.18545912,1404827.18545912,1404827.18545912,1610702.9842506587,1610702.9842506587,1610702.9842506587,1610702.9842506587,1610702.9842506587,1829935.629769768,1829935.629769768,1829935.629769768,1829935.629769768,1829935.629769768,1737988.7898944695,1737988.7898944695,1737988.7898944695,1737988.7898944695,1737988.7898944695
distributed,storage_load,6341.926858097624,6341.926858097624,6341.926858097624,7495.061671482585,7495.061671482585,9489.08875371634,9489.08875371634,9489.08875371634,9489.08875371634,9489.08875371634,14977.360187472084,14977.360187472084,14977.360187472084,14977.360187472084,14977.360187472084,23221.775587527627,23221.775587527627,23221.775587527627,23221.775587527627,23221.775587527627,27963.518969354227,27963.518969354227,27963.518969354227,27963.518969354227,27963.518969354227,31566.84261262817,31566.84261262817,31566.84261262817,31566.84261262817,31566.84261262817
distributed,total_output,1166153.6553163596,1166153.6553163596,1166153.6553163596,1292570.4151263335,1292570.4151263335,1376377.4455380216,1376377.4455380216,1376377.4455380216,1376377.4455380216,1376377.4455380216,1404827.18545912,1404827.18545912,1404827.18545912,1404827.18545912,1404827.18545912,1610702.9842506587,1610702.9842506587,1610702.9842506587,1610702.9842506587,1610702.9842506587,1829935.629769768,1829935.629769768,1829935.629769768,1829935.629769768,1829935.629769768,1737988.7898944695,1737988.7898944695,1737988.7898944695,1737988.7898944695,1737988.7898944695
system,co2_emissions,4708737.99122302,4708737.99122302,4708737.99122302,3704042.279780026,3704042.279780026,3194995.144739346,3194995.144739346,3194995.144739346,3194995.144739346,3194995.144739346,1414472.6828306962,1414472.6828306962,1414472.6828306962,1414472.6828306962,1414472.6828306962,1099952.0063872118,1099952.0063872118,1099952.0063872118,1099952.0063872118,1099952.0063872118,1070540.747993848,1070540.747993848,1070540.747993848,1070540.747993848,1070540.747993848,0.0,0.0,0.0,0.0,0.0
system,ev_load,24646.045539869985,24646.045539869985,24646.045539869985,44094.823512284835,44094.823512284835,63752.44387423624,63752.44387423624,63752.44387423624,63752.44387423624,63752.44387423624,145082.01493871104,145082.01493871104,145082.01493871104,145082.01493871104,145082.01493871104,287956.645127257,287956.645127257,287956.645127257,287956.645127257,287956.645127257,523472.7018844191,523472.7018844191,523472.7018844191,523472.7018844191,523472.7018844191,925893.48149959,925893.48149959,925893.48149959,925893.48149959,925893.48149959
system,gross_load,7917644.353182679,7917644.353182679,7917644.353182679,8056386.051654423,8056386.051654423,8223605.444129768,8223605.444129768,8223605.444129768,8223605.444129768,8223605.444129768,8425359.900663232,8425359.900663232,8425359.900663232,8425359.900663232,8425359.900663232,8573907.748737168,8573907.748737168,8573907.748737168,8573907.748737168,8573907.748737168,8798578.155055901,8798578.155055901,8798578.155055901,8798578.155055901,8798578.155055901,9000426.747959584,9000426.747959584,9000426.747959584,9000426.747959584,9000426.747959584
