load_zone,technology,period,capacity
Oahu,Kalaeloa_CC1,2020,90.0
Oahu,Kalaeloa_CC1,2023,90.0
Oahu,Kalaeloa_CC1,2025,90.0
Oahu,Kalaeloa_CC1,2030,90.0
Oahu,Kalaeloa_CC1,2035,90.0
Oahu,Kalaeloa_CC1,2040,90.0
Oahu,Kalaeloa_CC1,2045,90.0
Oahu,Kalaeloa_CC1,2050,90.0
Oahu,Kalaeloa_CC2,2020,90.0
Oahu,Kalaeloa_CC2,2023,90.0
Oahu,Kalaeloa_CC2,2025,90.0
Oahu,Kalaeloa_CC2,2030,90.0
Oahu,Kalaeloa_CC2,2035,90.0
Oahu,Kalaeloa_CC2,2040,90.0
Oahu,Kalaeloa_CC2,2045,90.0
Oahu,Kalaeloa_CC2,2050,90.0
Oahu,Kalaeloa_CC3,2020,28.0
Oahu,Kalaeloa_CC3,2023,28.0
Oahu,Kalaeloa_CC3,2025,28.0
Oahu,Kalaeloa_CC3,2030,28.0
Oahu,Kalaeloa_CC3,2035,28.0
Oahu,Kalaeloa_CC3,2040,28.0
Oahu,Kalaeloa_CC3,2045,28.0
Oahu,Kalaeloa_CC3,2050,28.0
Oahu,OnshoreWind,2020,99.0
Oahu,OnshoreWind,2023,123.0
Oahu,OnshoreWind,2025,123.0
Oahu,OnshoreWind,2030,123.0
Oahu,OnshoreWind,2035,123.0
Oahu,OnshoreWind,2040,123.0
Oahu,OnshoreWind,2045,123.0
Oahu,OnshoreWind,2050,123.0
Oahu,SlopedDistPV,2020,303.299999999999
Oahu,SlopedDistPV,2023,303.299999999999
Oahu,SlopedDistPV,2025,303.299999999999
Oahu,SlopedDistPV,2030,303.299999999999
Oahu,SlopedDistPV,2035,303.299999999999
Oahu,SlopedDistPV,2040,400.6226460343108
Oahu,SlopedDistPV,2045,349.01035901946796
Oahu,SlopedDistPV,2050,359.7054243260411
Oahu,Tesoro_Hawaii,2020,20.0
Oahu,Tesoro_Hawaii,2023,20.0
Oahu,Tesoro_Hawaii,2025,20.0
Oahu,Tesoro_Hawaii,2030,20.0
Oahu,Tesoro_Hawaii,2035,20.0
Oahu,Tesoro_Hawaii,2040,20.0
Oahu,Tesoro_Hawaii,2045,0.0
Oahu,Tesoro_Hawaii,2050,0.0
