PERIOD,EnergyCostReal_per_MWh,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,SystemDemand_MWh
2020,50.03297400359309,3361606259.506158,1188429882.277454,23752933.05954804
2023,79.19558905601252,2234504184.870362,1276060478.0468297,16112772.103308845
2025,30.171701070487373,4900988165.62276,1240600825.9095795,41118027.22064884
2030,30.02053202593145,4309653110.736056,1264668933.639296,42126799.50331617
2035,31.48423634351793,3967540013.6213055,1349714689.7438052,42869538.743685886
2040,34.33481434405305,3830102716.5781574,1510487737.2274256,43992890.77527949
2045,32.107230621135514,3160407234.5415487,1444893886.4268758,45002133.739797935
2050,32.21917052437876,2806968268.2521715,1487704007.4525883,46174497.457248665
