FUEL_BASED_GEN_TPS_1,FUEL_BASED_GEN_TPS_2,DispatchGenRenewableMW
Oahu_AES,2008091004,0.0
Oahu_AES,2008091006,0.0
Oahu_AES,2008091008,0.0
Oahu_AES,2008091010,0.0
Oahu_AES,2008091012,0.0
Oahu_AES,2008091014,0.0
Oahu_AES,2008091016,0.0
Oahu_AES,2008091018,0.0
Oahu_AES,2008091020,0.0
Oahu_AES,2008091022,0.0
Oahu_AES,2008112200,0.0
Oahu_AES,2008112202,0.0
Oahu_AES,2008112204,0.0
Oahu_AES,2008112206,0.0
Oahu_AES,2008112208,0.0
Oahu_AES,2008112210,0.0
Oahu_AES,2008112212,0.0
Oahu_AES,2008112214,0.0
Oahu_AES,2008112216,0.0
Oahu_AES,2008112218,0.0
Oahu_AES,2008112220,0.0
Oahu_AES,2008112222,0.0
Oahu_Airport_DSG,2007011200,0.0
Oahu_Airport_DSG,2007011202,0.0
Oahu_Airport_DSG,2007011204,0.0
Oahu_Airport_DSG,2007011206,0.0
Oahu_Airport_DSG,2007011208,0.0
Oahu_Airport_DSG,2007011210,0.0
Oahu_Airport_DSG,2007011212,0.0
Oahu_Airport_DSG,2007011214,0.0
Oahu_Airport_DSG,2007011216,0.0
Oahu_Airport_DSG,2007011218,0.0
Oahu_Airport_DSG,2007011220,0.0
Oahu_Airport_DSG,2007011222,0.0
Oahu_Airport_DSG,2007011900,0.0
Oahu_Airport_DSG,2007011902,0.0
Oahu_Airport_DSG,2007011904,0.0
Oahu_Airport_DSG,2007011906,0.0
Oahu_Airport_DSG,2007011908,0.0
Oahu_Airport_DSG,2007011910,0.0
Oahu_Airport_DSG,2007011912,0.0
Oahu_Airport_DSG,2007011914,0.0
Oahu_Airport_DSG,2007011916,0.0
Oahu_Airport_DSG,2007011918,0.0
Oahu_Airport_DSG,2007011920,0.0
Oahu_Airport_DSG,2007011922,0.0
Oahu_Airport_DSG,2007021200,0.0
Oahu_Airport_DSG,2007021202,0.0
Oahu_Airport_DSG,2007021204,0.0
Oahu_Airport_DSG,2007021206,0.0
Oahu_Airport_DSG,2007021208,0.0
Oahu_Airport_DSG,2007021210,0.0
Oahu_Airport_DSG,2007021212,0.0
Oahu_Airport_DSG,2007021214,0.0
Oahu_Airport_DSG,2007021216,0.0
Oahu_Airport_DSG,2007021218,0.0
Oahu_Airport_DSG,2007021220,0.0
Oahu_Airport_DSG,2007021222,0.0
Oahu_Airport_DSG,2007050200,0.0
Oahu_Airport_DSG,2007050202,0.0
Oahu_Airport_DSG,2007050204,0.0
Oahu_Airport_DSG,2007050206,0.0
Oahu_Airport_DSG,2007050208,0.0
Oahu_Airport_DSG,2007050210,0.0
Oahu_Airport_DSG,2007050212,0.0
Oahu_Airport_DSG,2007050214,0.0
Oahu_Airport_DSG,2007050216,0.0
Oahu_Airport_DSG,2007050218,0.0
Oahu_Airport_DSG,2007050220,0.0
Oahu_Airport_DSG,2007050222,0.0
Oahu_Airport_DSG,2007092200,0.0
Oahu_Airport_DSG,2007092202,0.0
Oahu_Airport_DSG,2007092204,0.0
Oahu_Airport_DSG,2007092206,0.0
Oahu_Airport_DSG,2007092208,0.0
Oahu_Airport_DSG,2007092210,0.0
Oahu_Airport_DSG,2007092212,0.0
Oahu_Airport_DSG,2007092214,0.0
Oahu_Airport_DSG,2007092216,0.0
Oahu_Airport_DSG,2007092218,0.0
Oahu_Airport_DSG,2007092220,0.0
Oahu_Airport_DSG,2007092222,0.0
Oahu_Airport_DSG,2007102700,0.0
Oahu_Airport_DSG,2007102702,0.0
Oahu_Airport_DSG,2007102704,0.0
Oahu_Airport_DSG,2007102706,0.0
Oahu_Airport_DSG,2007102708,0.0
