BALANCING_AREA_TIMEPOINTS_1,BALANCING_AREA_TIMEPOINTS_2,MaximumContingencyDown
system_wide_balancing_area,2007011200,64.7340719532807
system_wide_balancing_area,2007011202,59.316703676317104
system_wide_balancing_area,2007011204,65.4218278191705
system_wide_balancing_area,2007011206,91.35621342871372
system_wide_balancing_area,2007011208,100.506670977737
system_wide_balancing_area,2007011210,106.13986654594801
system_wide_balancing_area,2007011212,106.42178449097501
system_wide_balancing_area,2007011214,105.04524009273001
system_wide_balancing_area,2007011216,101.96169802734401
system_wide_balancing_area,2007011218,107.083723695232
system_wide_balancing_area,2007011220,96.24485647544371
system_wide_balancing_area,2007011222,80.247820261482
system_wide_balancing_area,2007011900,60.9669046878665
system_wide_balancing_area,2007011902,55.67139105380831
system_wide_balancing_area,2007011904,62.6439550275136
system_wide_balancing_area,2007011906,88.55252397542431
system_wide_balancing_area,2007011908,96.43176910566301
system_wide_balancing_area,2007011910,101.098388862353
system_wide_balancing_area,2007011912,102.754785872695
system_wide_balancing_area,2007011914,102.371666614068
system_wide_balancing_area,2007011916,99.73939979401871
system_wide_balancing_area,2007011918,105.18361739908
system_wide_balancing_area,2007011920,94.88483474064361
system_wide_balancing_area,2007011922,78.8599165321188
system_wide_balancing_area,2007021200,54.612907926875806
system_wide_balancing_area,2007021202,50.575182047553
system_wide_balancing_area,2007021204,58.51741983217501
system_wide_balancing_area,2007021206,84.3258201329515
system_wide_balancing_area,2007021208,91.8942326571349
system_wide_balancing_area,2007021210,96.7157523836205
system_wide_balancing_area,2007021212,98.6716226688986
system_wide_balancing_area,2007021214,99.03305593175361
system_wide_balancing_area,2007021216,98.3762800598228
system_wide_balancing_area,2007021218,106.990783713355
system_wide_balancing_area,2007021220,95.63868126031261
system_wide_balancing_area,2007021222,74.48347605217761
system_wide_balancing_area,2007050200,62.3434490861113
system_wide_balancing_area,2007050202,57.753246647853
system_wide_balancing_area,2007050204,63.181974255934904
system_wide_balancing_area,2007050206,89.24337784070991
system_wide_balancing_area,2007050208,99.44095918554711
system_wide_balancing_area,2007050210,104.61874884256099
system_wide_balancing_area,2007050212,106.623154451708
system_wide_balancing_area,2007050214,106.81213241485801
system_wide_balancing_area,2007050216,104.65489216884701
system_wide_balancing_area,2007050218,106.21215319851899
system_wide_balancing_area,2007050220,99.9593577511276
system_wide_balancing_area,2007050222,79.29983244633661
system_wide_balancing_area,2007092200,70.2195962169541
system_wide_balancing_area,2007092202,64.2177387206307
system_wide_balancing_area,2007092204,65.8885930614861
system_wide_balancing_area,2007092206,79.5032677400007
system_wide_balancing_area,2007092208,98.9184299541053
system_wide_balancing_area,2007092210,105.90751659125499
system_wide_balancing_area,2007092212,106.06551456044599
system_wide_balancing_area,2007092214,105.35607269878501
system_wide_balancing_area,2007092216,104.042520954924
system_wide_balancing_area,2007092218,106.505430474664
system_wide_balancing_area,2007092220,97.481990900873
system_wide_balancing_area,2007092222,84.92993001515201
system_wide_balancing_area,2007102700,69.055781110561
