owner,variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
PPA,capacity_retired,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.5,0.0,0.0,0.0,0.0,143.2,0.0,0.0,0.0,0.0
PPA,capital_outlay,231939528.5581514,0.0,0.0,1161091292.6840463,0.0,824960999.8245618,0.0,0.0,0.0,0.0,2176075604.280263,0.0,0.0,0.0,0.0,306119002.1313957,0.0,0.0,0.0,0.0,1726023275.6276834,0.0,0.0,0.0,0.0,2397222414.092301,0.0,0.0,0.0,0.0
PPA,fixed_om,39438832.373224996,39438832.373224996,39438832.373224996,42802868.07031661,42802868.07031661,51657515.058113836,51657515.058113836,51657515.058113836,51657515.058113836,51657515.058113836,71299409.65098013,71299409.65098013,71299409.65098013,71299409.65098013,71299409.65098013,72624454.01030605,72624454.01030605,72624454.01030605,72624454.01030605,72624454.01030605,83305509.92558694,83305509.92558694,83305509.92558694,83305509.92558694,83305509.92558694,96776761.55095124,96776761.55095124,96776761.55095124,96776761.55095124,96776761.55095124
PPA,fuel_cost,229673264.20086238,229673264.20086238,229673264.20086238,209459210.2806882,209459210.2806882,225850164.9808163,225850164.9808163,225850164.9808163,225850164.9808163,225850164.9808163,185996450.36445326,185996450.36445326,185996450.36445326,185996450.36445326,185996450.36445326,185017929.93876997,185017929.93876997,185017929.93876997,185017929.93876997,185017929.93876997,173514314.72668734,173514314.72668734,173514314.72668734,173514314.72668734,173514314.72668734,46200706.22122271,46200706.22122271,46200706.22122271,46200706.22122271,46200706.22122271
PPA,non_renewable_output,2602026.4754973026,2602026.4754973026,2602026.4754973026,2068304.0000000014,2068304.0000000014,2068304.0,2068304.0,2068304.0,2068304.0,2068304.0,1551547.4223624167,1551547.4223624167,1551547.4223624167,1551547.4223624167,1551547.4223624167,1421642.5031087,1421642.5031087,1421642.5031087,1421642.5031087,1421642.5031087,1247443.945417207,1247443.945417207,1247443.945417207,1247443.945417207,1247443.945417207,2.983347591512599e-10,2.983347591512599e-10,2.983347591512599e-10,2.983347591512599e-10,2.983347591512599e-10
PPA,ppa_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912,35692150.30010912
PPA,renewable_output,1217027.6755696423,1217027.6755696423,1217027.6755696423,1723086.704439551,1723086.704439551,2509836.5722665186,2509836.5722665186,2509836.5722665186,2509836.5722665186,2509836.5722665186,5515127.636531703,5515127.636531703,5515127.636531703,5515127.636531703,5515127.636531703,5791995.960816831,5791995.960816831,5791995.960816831,5791995.960816831,5791995.960816831,6631240.43455591,6631240.43455591,6631240.43455591,6631240.43455591,6631240.43455591,8598970.103310343,8598970.103310343,8598970.103310343,8598970.103310343,8598970.103310343
PPA,storage_load,0.0,0.0,0.0,40304.698269250184,40304.698269250184,69909.59734720699,69909.59734720699,69909.59734720699,69909.59734720699,69909.59734720699,145072.90822851713,145072.90822851713,145072.90822851713,145072.90822851713,145072.90822851713,168473.33561797044,168473.33561797044,168473.33561797044,168473.33561797044,168473.33561797044,161473.46512554813,161473.46512554813,161473.46512554813,161473.46512554813,161473.46512554813,257241.3229187368,257241.3229187368,257241.3229187368,257241.3229187368,257241.3229187368
PPA,storage_net_load,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2972.0117602312853,2972.0117602312853,2972.0117602312853,2972.0117602312853,2972.0117602312853,-5144.387002354073,-5144.387002354073,-5144.387002354073,-5144.387002354073,-5144.387002354073,-15894.86203679202,-15894.86203679202,-15894.86203679202,-15894.86203679202,-15894.86203679202,-27256.572589958087,-27256.572589958087,-27256.572589958087,-27256.572589958087,-27256.572589958087
PPA,total_output,3819054.151066945,3819054.151066945,3819054.151066945,3791390.7044395525,3791390.7044395525,4578140.572266519,4578140.572266519,4578140.572266519,4578140.572266519,4578140.572266519,7066675.05889412,7066675.05889412,7066675.05889412,7066675.05889412,7066675.05889412,7213638.463925532,7213638.463925532,7213638.463925532,7213638.463925532,7213638.463925532,7878684.379973116,7878684.379973116,7878684.379973116,7878684.379973116,7878684.379973116,8598970.103310343,8598970.103310343,8598970.103310343,8598970.103310343,8598970.103310343
