GENERATION_PROJECT,gen_load_zone,gen_tech,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_unit_size,gen_min_build_capacity,gen_max_age,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_variable_om,gen_energy_source,gen_full_load_heat_rate,gen_min_uptime,gen_min_downtime,gen_startup_fuel,gen_storage_efficiency,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year
Oahu_CentralTrackingPV_PV_04,Oahu,CentralTrackingPV,14643.1249749511,246.034665955004,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_05,Oahu,CentralTrackingPV,10210.8373919997,34.1890525823313,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_06,Oahu,CentralTrackingPV,1241.54868713955,5.40065683847065,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_07,Oahu,CentralTrackingPV,11441.6726446756,382.345403728652,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_08,Oahu,CentralTrackingPV,17810.3826741905,728.008319371892,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_09,Oahu,CentralTrackingPV,35000.0526005834,338.27024458469,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_10,Oahu,CentralTrackingPV,23965.6136930013,1248.96028196346,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_11,Oahu,CentralTrackingPV,31495.5495366735,346.391874226767,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_12,Oahu,CentralTrackingPV,36291.1438098053,246.924233801021,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_13,Oahu,CentralTrackingPV,34929.1391930102,489.409195046695,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_14,Oahu,CentralTrackingPV,24960.3164808017,103.340691037825,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_15,Oahu,CentralTrackingPV,14407.5713280953,252.478623360663,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_16,Oahu,CentralTrackingPV,19807.1189675165,254.376785128882,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_17,Oahu,CentralTrackingPV,24889.5166186748,8.01186714308542,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_18,Oahu,CentralTrackingPV,15488.5921227169,0.493028702088368,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_DistBattery,Oahu,DistBattery,0.0,3000.0,.,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.9,.,365.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,Oahu,FlatDistPV,0.0,348.19031724606,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_FlatDistPV_Oahu_FlatDistPV_1,Oahu,FlatDistPV,0.0,175.954227029265,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_FlatDistPV_Oahu_FlatDistPV_2,Oahu,FlatDistPV,0.0,692.335413951266,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_FlatDistPV_Oahu_FlatDistPV_3,Oahu,FlatDistPV,0.0,537.843529395289,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_H-Power,Oahu,H-Power,0.0,73.0,73.0,.,66,0.413698630136986,0,0,1,1,156.771973345424,MSW,.,0.0,0.0,.,.,.,.
Oahu_Hawaii_Cogen,Oahu,Hawaii_Cogen,0.0,12.2,12.2,.,63,0.132186166629239,0,0,1,1,59.2696738767759,multiple,.,0.0,0.0,0.0,.,.,.
Oahu_IC_Barge,Oahu,IC_Barge,174103.335130027,1007.18352,16.786392,.,30,0.02,0,0,0,0,22.6877780736,multiple,.,.,.,.,.,.,.
Oahu_IC_MCBH,Oahu,IC_MCBH,539413.180035487,274.9158,9.16386,.,30,0.02,0,0,0,0,22.6877780736,multiple,.,.,.,.,.,.,.
Oahu_IC_Schofield,Oahu,IC_Schofield,334658.591646192,48.84,8.14,.,30,0.02,0,0,0,0,22.6877780736,multiple,.,.,.,.,.,.,.
Oahu_Kahe_1,Oahu,Kahe_1,0.0,82.1,82.1,.,72,0.0,0,0,0,0,10.4696350308999,multiple,.,3.0,6.0,11.3641900121803,.,.,.
Oahu_Kahe_2,Oahu,Kahe_2,0.0,82.1,82.1,.,71,0.0,0,0,0,0,10.4696350308999,multiple,.,3.0,6.0,11.3641900121803,.,.,.
Oahu_Kahe_3,Oahu,Kahe_3,0.0,86.1,86.1,.,69,0.0,0,0,0,0,10.4696350308999,multiple,.,3.0,6.0,10.8362369337979,.,.,.
Oahu_Kahe_4,Oahu,Kahe_4,0.0,85.3,85.3,.,67,0.0,0,0,0,0,10.4696350308999,multiple,.,3.0,6.0,10.9378663540445,.,.,.
Oahu_Kahe_5,Oahu,Kahe_5,0.0,134.3,134.3,.,71,0.0,0,0,0,0,10.4696350308999,multiple,.,3.0,6.0,10.0670141474311,.,.,.
Oahu_Kahe_6,Oahu,Kahe_6,0.0,134.4,134.4,.,64,0.0,0,0,0,0,10.4696350308999,multiple,.,3.0,6.0,20.1116071428571,.,.,.
Oahu_Kalaeloa_CC1,Oahu,Kalaeloa_CC1,0.0,90.0,90.0,.,66,0.0,0,0,0,0,0.805356540838456,multiple,.,3.0,5.0,8.88888888888889,.,.,.
Oahu_Kalaeloa_CC2,Oahu,Kalaeloa_CC2,0.0,90.0,90.0,.,64,0.0,0,0,0,0,0.805356540838456,multiple,.,3.0,5.0,8.88888888888889,.,.,.
Oahu_Kalaeloa_CC3,Oahu,Kalaeloa_CC3,0.0,28.0,28.0,.,64,0.0,0,0,0,0,0.805356540838456,multiple,.,1.0,3.0,0.0,.,.,.
Oahu_OffshoreWind_OffWind,Oahu,OffshoreWind,0.0,2400.0,.,200.0,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_101,Oahu,OnshoreWind,36703.249687908,20.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_102,Oahu,OnshoreWind,15906.04464942,305.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_103,Oahu,OnshoreWind,29013.561940788,100.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_104,Oahu,OnshoreWind,16212.69693126,27.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_105,Oahu,OnshoreWind,23673.40964892,17.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_106,Oahu,OnshoreWind,14797.577124468,60.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_107,Oahu,OnshoreWind,11682.589883472,20.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_201,Oahu,OnshoreWind,18663.7556277,37.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_202,Oahu,OnshoreWind,27854.84997288,220.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_203,Oahu,OnshoreWind,14614.691544504,50.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_204,Oahu,OnshoreWind,24861.07306692,15.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_205,Oahu,OnshoreWind,27151.031108592,20.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_206,Oahu,OnshoreWind,35085.047172012,10.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_207,Oahu,OnshoreWind,15088.946367276,120.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_208,Oahu,OnshoreWind,11368.877613696,82.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_209,Oahu,OnshoreWind,11275.042481136,2.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_301,Oahu,OnshoreWind,13700.859086412,120.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_302,Oahu,OnshoreWind,26656.951182912,52.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_303,Oahu,OnshoreWind,33478.754791176,15.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_304,Oahu,OnshoreWind,34039.031394528,57.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_305,Oahu,OnshoreWind,27574.50300858,170.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_306,Oahu,OnshoreWind,24132.149496288,27.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_307,Oahu,OnshoreWind,11528.350000848,75.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_308,Oahu,OnshoreWind,17750.233229616,32.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_309,Oahu,OnshoreWind,24693.35835006,2.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_401,Oahu,OnshoreWind,27462.069883296,212.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_402,Oahu,OnshoreWind,31319.428915728,52.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_403,Oahu,OnshoreWind,36854.426300004,47.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_404,Oahu,OnshoreWind,18309.961136412,50.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_405,Oahu,OnshoreWind,10200.4344662256,45.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_406,Oahu,OnshoreWind,21000.749217012,42.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_407,Oahu,OnshoreWind,25232.91733296,12.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_408,Oahu,OnshoreWind,33450.570375984,15.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_409,Oahu,OnshoreWind,28911.24482238,50.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_410,Oahu,OnshoreWind,24685.085422188,2.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_501,Oahu,OnshoreWind,35891.085783672,242.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_502,Oahu,OnshoreWind,27953.47380654,42.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_503,Oahu,OnshoreWind,21027.771151668,117.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_504,Oahu,OnshoreWind,9343.8816182028,20.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_505,Oahu,OnshoreWind,29691.60474942,42.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_506,Oahu,OnshoreWind,37892.244661848,7.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_507,Oahu,OnshoreWind,22938.106241448,10.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_508,Oahu,OnshoreWind,24626.777598324,2.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_509,Oahu,OnshoreWind,21943.229713344,2.5,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_Kahuku,Oahu,OnshoreWind,36432.0782191932,30.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_Kawailoa,Oahu,OnshoreWind,32079.947219014,69.0,.,.,30,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,Oahu,SlopedDistPV,0.0,142.384405203774,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1,Oahu,SlopedDistPV,0.0,198.122622463401,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,Oahu,SlopedDistPV,0.0,121.314250249253,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_11,Oahu,SlopedDistPV,0.0,203.162435916257,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,Oahu,SlopedDistPV,0.0,67.4236162004918,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_13,Oahu,SlopedDistPV,0.0,160.018414591717,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,Oahu,SlopedDistPV,0.0,83.3241472683096,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,Oahu,SlopedDistPV,0.0,253.961718505757,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,Oahu,SlopedDistPV,0.0,202.002814255471,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,Oahu,SlopedDistPV,0.0,158.930023139444,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4,Oahu,SlopedDistPV,0.0,92.3771347847385,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,Oahu,SlopedDistPV,0.0,155.859006045268,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_6,Oahu,SlopedDistPV,0.0,130.560408793448,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,Oahu,SlopedDistPV,0.0,124.329783091875,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_8,Oahu,SlopedDistPV,0.0,86.5474173352294,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,Oahu,SlopedDistPV,0.0,127.227717795035,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_Tesoro_Hawaii,Oahu,Tesoro_Hawaii,0.0,20.0,20.0,.,55,0.123978310502283,0,0,1,1,59.7578821091585,multiple,.,0.0,0.0,0.0,.,.,.
Oahu_Waiau_10,Oahu,Waiau_10,0.0,49.9,49.9,.,82,0.0,0,0,0,0,0.201339135209614,multiple,.,1.0,1.0,0.661322645290581,.,.,.
Oahu_Waiau_3,Oahu,Waiau_3,0.0,46.6,46.6,.,76,0.0,0,0,0,0,10.4696350308999,multiple,.,3.0,5.0,7.23175965665236,.,.,.
Oahu_Waiau_4,Oahu,Waiau_4,0.0,46.6,46.6,.,73,0.0,0,0,0,0,10.4696350308999,multiple,.,3.0,5.0,7.23175965665236,.,.,.
Oahu_Waiau_5,Oahu,Waiau_5,0.0,54.5,54.5,.,67,0.0,0,0,0,0,10.4696350308999,multiple,.,3.0,5.0,5.08256880733945,.,.,.
Oahu_Waiau_6,Oahu,Waiau_6,0.0,53.5,53.5,.,65,0.0,0,0,0,0,10.4696350308999,multiple,.,3.0,5.0,5.17757009345794,.,.,.
Oahu_Waiau_7,Oahu,Waiau_7,0.0,82.9,82.9,.,65,0.0,0,0,0,0,10.4696350308999,multiple,.,3.0,6.0,11.254523522316,.,.,.
Oahu_Waiau_8,Oahu,Waiau_8,0.0,86.1,86.1,.,63,0.0,0,0,0,0,10.4696350308999,multiple,.,3.0,6.0,10.8362369337979,.,.,.
Oahu_Waiau_9,Oahu,Waiau_9,0.0,52.9,52.9,.,82,0.0,0,0,0,0,0.201339135209614,multiple,.,1.0,1.0,0.680529300567108,.,.,.
