GENERATION_PROJECT,gen_load_zone,gen_tech,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_unit_size,gen_min_build_capacity,gen_max_age,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_variable_om,gen_energy_source,gen_full_load_heat_rate,gen_min_uptime,gen_min_downtime,gen_startup_fuel,gen_storage_efficiency,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year
Oahu_AES,Oahu,AES,0.0,180.0,180.0,.,30,0.09667,0,0,1,0,3.82544356898266,multiple,.,24.0,24.0,0.0,.,.,.
Oahu_Airport_DSG,Oahu,Airport_DSG,0.0,8.0,8.0,.,61,0.0,0,0,0,0,17.7247738241302,multiple,.,1.0,1.0,0.125,.,.,.
Oahu_Battery_Bulk,Oahu,Battery_Bulk,0.0,3000.0,.,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.9,.,365.0
Oahu_Battery_Conting,Oahu,Battery_Conting,0.0,3000.0,.,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.9,0.0,.
Oahu_Battery_Reg,Oahu,Battery_Reg,0.0,3000.0,.,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.9,0.0,.
Oahu_CC_152,Oahu,CC_152,167483.493339354,1505.86,150.586,.,30,0.05,0,0,0,0,4.8601203984,multiple,.,.,.,.,.,.,.
Oahu_CIP_CT,Oahu,CIP_CT,0.0,113.0,113.0,.,61,0.0,0,0,0,0,4.42187925252038,multiple,.,1.0,1.0,1.11504424778761,.,.,.
Oahu_CentralTrackingPV_PV_01,Oahu,CentralTrackingPV,31321.1256551587,272.066085442376,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_02,Oahu,CentralTrackingPV,26698.7500162074,235.386587131752,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_PV_03,Oahu,CentralTrackingPV,22305.067403985,74.0786511352835,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
