GENERATION_PROJECT,TIMEPOINT,gen_min_commit_fraction,gen_max_commit_fraction,gen_min_load_fraction_tp
Oahu_Kahe_1,1907011200,1.0,.,.
Oahu_Kahe_1,1907011202,1.0,.,.
Oahu_Kahe_1,1907011204,1.0,.,.
Oahu_Kahe_1,1907011206,1.0,.,.
Oahu_Kahe_1,1907011208,1.0,.,.
Oahu_Kahe_1,1907011210,1.0,.,.
Oahu_Kahe_1,1907011212,1.0,.,.
Oahu_Kahe_1,1907011214,1.0,.,.
Oahu_Kahe_1,1907011216,1.0,.,.
Oahu_Kahe_1,1907011218,1.0,.,.
Oahu_Kahe_1,1907011220,1.0,.,.
Oahu_Kahe_1,1907011222,1.0,.,.
Oahu_Kahe_1,1907011900,1.0,.,.
Oahu_Kahe_1,1907011902,1.0,.,.
Oahu_Kahe_1,1907011904,1.0,.,.
Oahu_Kahe_1,1907011906,1.0,.,.
Oahu_Kahe_1,1907011908,1.0,.,.
Oahu_Kahe_1,1907011910,1.0,.,.
Oahu_Kahe_1,1907011912,1.0,.,.
Oahu_Kahe_1,1907011914,1.0,.,.
Oahu_Kahe_1,1907011916,1.0,.,.
Oahu_Kahe_1,1907011918,1.0,.,.
Oahu_Kahe_1,1907011920,1.0,.,.
Oahu_Kahe_1,1907011922,1.0,.,.
Oahu_Kahe_1,1907021200,1.0,.,.
Oahu_Kahe_1,1907021202,1.0,.,.
Oahu_Kahe_1,1907021204,1.0,.,.
Oahu_Kahe_1,1907021206,1.0,.,.
Oahu_Kahe_1,1907021208,1.0,.,.
Oahu_Kahe_1,1907021210,1.0,.,.
Oahu_Kahe_1,1907021212,1.0,.,.
Oahu_Kahe_1,1907021214,1.0,.,.
Oahu_Kahe_1,1907021216,1.0,.,.
Oahu_Kahe_1,1907021218,1.0,.,.
Oahu_Kahe_1,1907021220,1.0,.,.
Oahu_Kahe_1,1907021222,1.0,.,.
Oahu_Kahe_1,1907050200,1.0,.,.
Oahu_Kahe_1,1907050202,1.0,.,.
Oahu_Kahe_1,1907050204,1.0,.,.
Oahu_Kahe_1,1907050206,1.0,.,.
Oahu_Kahe_1,1907050208,1.0,.,.
Oahu_Kahe_1,1907050210,1.0,.,.
Oahu_Kahe_1,1907050212,1.0,.,.
Oahu_Kahe_1,1907050214,1.0,.,.
Oahu_Kahe_1,1907050216,1.0,.,.
Oahu_Kahe_1,1907050218,1.0,.,.
Oahu_Kahe_1,1907050220,1.0,.,.
Oahu_Kahe_1,1907050222,1.0,.,.
Oahu_Kahe_1,1907092200,1.0,.,.
Oahu_Kahe_1,1907092202,1.0,.,.
Oahu_Kahe_1,1907092204,1.0,.,.
Oahu_Kahe_1,1907092206,1.0,.,.
Oahu_Kahe_1,1907092208,1.0,.,.
Oahu_Kahe_1,1907092210,1.0,.,.
Oahu_Kahe_1,1907092212,1.0,.,.
Oahu_Kahe_1,1907092214,1.0,.,.
Oahu_Kahe_1,1907092216,1.0,.,.
Oahu_Kahe_1,1907092218,1.0,.,.
Oahu_Kahe_1,1907092220,1.0,.,.
Oahu_Kahe_1,1907092222,1.0,.,.
Oahu_Kahe_1,1907102700,1.0,.,.
Oahu_Kahe_1,1907102702,1.0,.,.
Oahu_Kahe_1,1907102704,1.0,.,.
Oahu_Kahe_1,1907102706,1.0,.,.
Oahu_Kahe_1,1907102708,1.0,.,.
Oahu_Kahe_1,1907102710,1.0,.,.
