load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,GeneratePumpedHydro,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand,StorePumpedHydro
Oahu,2020-01-12 00:00,735.426,0,0,647.341,0,0.593181,87.4917,0
Oahu,2020-01-12 02:00,747.639,0,0,593.167,37.75,0.429723,116.292,0
Oahu,2020-01-12 04:00,731.207,0,0,654.218,0,0.431732,76.5568,0
Oahu,2020-01-12 06:00,822.728,0,0,913.562,0,0.522084,-91.3562,0
Oahu,2020-01-12 08:00,969.391,0,0,1005.07,0,0.797813,-36.4732,0
Oahu,2020-01-12 10:00,1101.67,0,0,1061.4,0,1.37076,38.8964,0
Oahu,2020-01-12 12:00,1178.66,0,0,1064.22,0,18.4525,95.9873,0
Oahu,2020-01-12 14:00,1137.89,0,0,1050.45,7.86318,1.91641,77.6537,0
Oahu,2020-01-12 16:00,926.142,0,0,1019.62,0,2.06371,-95.5389,0
Oahu,2020-01-12 18:00,967.079,0,0,1070.84,0,3.32555,-107.084,0
Oahu,2020-01-12 20:00,869.289,0,0,962.449,0,3.08513,-96.2449,0
Oahu,2020-01-12 22:00,737.07,0,0,802.478,0,0.773159,-66.1809,0
Oahu,2020-01-19 00:00,682.491,0,0,609.669,0,0.593181,72.2289,0
Oahu,2020-01-19 02:00,681.461,0,0,556.714,2.5,0.429723,121.818,0
Oahu,2020-01-19 04:00,661.164,0,0,626.44,38.097,0.431732,-3.80451,0
Oahu,2020-01-19 06:00,797.495,0,0,885.525,0,0.522084,-88.5525,0
Oahu,2020-01-19 08:00,897.749,0,0,964.318,0,17.6787,-84.2478,0
Oahu,2020-01-19 10:00,1079.85,0,0,1010.98,0,1.37076,67.4914,0
Oahu,2020-01-19 12:00,1199.45,0,0,1027.55,5.24768,1.57161,165.088,0
Oahu,2020-01-19 14:00,1109.19,0,0,1023.72,0,1.91641,83.5534,0
Oahu,2020-01-19 16:00,899.718,0,0,997.394,0,2.06371,-99.7394,0
Oahu,2020-01-19 18:00,949.978,0,0,1051.84,0,3.32555,-105.184,0
Oahu,2020-01-19 20:00,857.049,0,0,948.848,0,3.08513,-94.8848,0
Oahu,2020-01-19 22:00,756.273,0,0,788.599,0.666671,0.773159,-33.7663,0
Oahu,2020-02-12 00:00,561.544,0,0,546.129,0,0.593181,14.8215,0
Oahu,2020-02-12 02:00,534.693,0,0,505.752,15.2838,0.429723,13.2275,0
Oahu,2020-02-12 04:00,565.448,0,0,585.174,27.0462,0.431732,-47.2038,0
Oahu,2020-02-12 06:00,759.454,0,0,843.258,0,0.522084,-84.3258,0
Oahu,2020-02-12 08:00,927.065,0,0,918.942,8.466,17.6787,-18.0217,0
Oahu,2020-02-12 10:00,1104.82,0,0,967.158,38.097,1.37076,98.1991,0
Oahu,2020-02-12 12:00,1191.17,0,0,986.716,38.097,1.57161,164.785,0
Oahu,2020-02-12 14:00,1226.25,0,0,990.331,0,1.91641,234.007,0
Oahu,2020-02-12 16:00,887.45,0,0,983.763,0,2.06371,-98.3763,0
Oahu,2020-02-12 18:00,966.243,0,0,1069.91,0,3.32555,-106.991,0
Oahu,2020-02-12 20:00,863.833,0,0,956.387,0,3.08513,-95.6387,0
Oahu,2020-02-12 22:00,671.124,0,0,744.835,0,0.773159,-74.4835,0
Oahu,2020-02-20 00:00,633.748,0,0,603.322,0,17.474,12.952,0
Oahu,2020-02-20 02:00,634.776,0,0,552.357,0,0.429723,81.9891,0
Oahu,2020-02-20 04:00,633.743,0,0,624.171,38.097,0.431732,-28.9571,0
Oahu,2020-02-20 06:00,788.335,0,0,875.348,0,0.522084,-87.5348,0
Oahu,2020-02-20 08:00,932.578,0,0,975.164,0,0.797813,-43.3835,0
Oahu,2020-02-20 10:00,1202.2,0,0,1035.93,0,1.37076,164.898,0
Oahu,2020-02-20 12:00,1257.99,0,0,1056.72,38.097,1.57161,161.606,0
Oahu,2020-02-20 14:00,1097.52,0,0,1061.81,0,1.91641,33.7974,0
Oahu,2020-02-20 16:00,1060.99,0,0,1052.51,17.7108,2.06371,-11.2961,0
Oahu,2020-02-20 18:00,993.81,0,0,1100.54,0,3.32555,-110.054,0
Oahu,2020-02-20 20:00,885.665,0,0,980.645,0,3.08513,-98.0645,0
Oahu,2020-02-20 22:00,684.35,0,0,759.53,0,0.773159,-75.953,0
Oahu,2020-04-10 00:00,752.417,0,0,579.577,0,0.593181,172.247,0
Oahu,2020-04-10 02:00,637.178,0,0,541.9,0,0.429723,94.8475,0
Oahu,2020-04-10 04:00,638.502,0,0,629.823,0,0.431732,8.24756,0
Oahu,2020-04-10 06:00,796.298,0,0,884.196,0,0.522084,-88.4196,0
Oahu,2020-04-10 08:00,921.417,0,0,978.532,2.25887,0.797813,-60.1718,0
Oahu,2020-04-10 10:00,1042.76,0,0,1027.25,0,1.37076,14.1387,0
Oahu,2020-04-10 12:00,1185.4,0,0,1017.46,0.980389,18.4525,148.508,0
Oahu,2020-04-10 14:00,1080.34,0,0,1039.17,22.0335,1.91641,17.2219,0
Oahu,2020-04-10 16:00,949.89,0,0,1031.77,0,2.06371,-83.9433,0
Oahu,2020-04-10 18:00,988.926,0,0,1095.11,0,3.32555,-109.511,0
Oahu,2020-04-10 20:00,905.964,0,0,1003.2,0,3.08513,-100.32,0
Oahu,2020-04-10 22:00,768.071,0,0,780.143,0,0.773159,-12.8448,0
Oahu,2020-05-02 00:00,569.274,0,0,623.434,4.233,0.593181,-58.9864,0
Oahu,2020-05-02 02:00,611.312,0,0,577.532,38.097,17.3106,-21.6284,0
Oahu,2020-05-02 04:00,578.792,0,0,631.82,0,0.431732,-53.4596,0
Oahu,2020-05-02 06:00,803.712,0,0,892.434,0,0.522084,-89.2434,0
Oahu,2020-05-02 08:00,1052.76,0,0,994.41,0,0.797813,57.5505,0
Oahu,2020-05-02 10:00,1300.08,0,0,1046.19,8.466,1.37076,244.057,0
Oahu,2020-05-02 12:00,1203.42,0,0,1066.23,38.097,1.57161,97.5195,0
Oahu,2020-05-02 14:00,1233.57,0,0,1068.12,0,1.91641,163.535,0
Oahu,2020-05-02 16:00,1032.84,0,0,1046.55,38.097,2.06371,-53.8728,0
Oahu,2020-05-02 18:00,959.235,0,0,1062.12,0,3.32555,-106.212,0
Oahu,2020-05-02 20:00,902.719,0,0,999.594,0,3.08513,-99.9594,0
Oahu,2020-05-02 22:00,714.472,0,0,792.998,0,0.773159,-79.2998,0
Oahu,2020-06-17 00:00,737.464,0,0,672.476,0,0.593181,64.3949,0
Oahu,2020-06-17 02:00,733.3,0,0,617.414,0,0.429723,115.456,0
Oahu,2020-06-17 04:00,765.456,0,0,680.144,0,12.7783,72.5339,0
Oahu,2020-06-17 06:00,810.639,0,0,895.092,0,5.05641,-89.5092,0
Oahu,2020-06-17 08:00,1069.63,0,0,1037.52,7.26423,0.797813,24.0519,0
Oahu,2020-06-17 10:00,1267.25,0,0,1099.33,38.097,1.37076,128.458,0
Oahu,2020-06-17 12:00,1214.71,0,0,1117.44,0,1.57161,95.6958,0
Oahu,2020-06-17 14:00,1099.73,0,0,1111.54,0,1.91641,-13.7303,0
Oahu,2020-06-17 16:00,1001.56,0,0,1088.12,20.1848,2.06371,-108.812,0
Oahu,2020-06-17 18:00,969.823,0,0,1073.89,0,3.32555,-107.389,0
Oahu,2020-06-17 20:00,940.616,0,0,1041.7,0,3.08513,-104.17,0
Oahu,2020-06-17 22:00,753.668,0,0,829.874,0,0.773159,-76.9797,0
Oahu,2020-08-18 00:00,751.406,0,0,671.725,0,0.593181,79.0878,0
Oahu,2020-08-18 02:00,750.777,0,0,624.568,0,0.429723,125.779,0
Oahu,2020-08-18 04:00,761.444,0,0,685.389,0,17.3126,58.7432,0
Oahu,2020-08-18 06:00,839.454,0,0,932.147,0,0.522084,-93.2147,0
Oahu,2020-08-18 08:00,1117.07,0,0,1076.52,0,0.797813,39.7501,0
Oahu,2020-08-18 10:00,1169.31,0,0,1144.02,38.097,1.37076,-14.1768,0
Oahu,2020-08-18 12:00,1357.78,0,0,1169.23,33.0134,1.57161,153.961,0
Oahu,2020-08-18 14:00,1251.96,0,0,1173.17,8.61871,1.91641,68.2613,0
Oahu,2020-08-18 16:00,1039.32,0,0,1147.03,4.93087,2.06371,-114.703,0
Oahu,2020-08-18 18:00,1006.98,0,0,1115.17,0,3.32555,-111.517,0
Oahu,2020-08-18 20:00,970.693,0,0,1075.12,0,3.08513,-107.512,0
Oahu,2020-08-18 22:00,760.913,0,0,844.599,0,0.773159,-84.4599,0
Oahu,2020-09-10 00:00,760.33,0,0,669.998,0,0.593181,89.7388,0
Oahu,2020-09-10 02:00,758.567,0,0,621.672,0,0.429723,136.465,0
Oahu,2020-09-10 04:00,755.6,0,0,685.989,0,0.431732,69.179,0
Oahu,2020-09-10 06:00,834.319,0,0,926.441,0,0.522084,-92.6441,0
Oahu,2020-09-10 08:00,997.917,0,0,1051.06,0,17.6787,-70.8256,0
Oahu,2020-09-10 10:00,1197.57,0,0,1125.01,0,1.37076,71.1899,0
Oahu,2020-09-10 12:00,1267.14,0,0,1137.11,23.2617,1.57161,105.193,0
Oahu,2020-09-10 14:00,1218.35,0,0,1137.15,0,1.91641,79.284,0
Oahu,2020-09-10 16:00,1012.15,0,0,1122.32,0,2.06371,-112.232,0
Oahu,2020-09-10 18:00,1026.15,0,0,1136.47,0,3.32555,-113.647,0
Oahu,2020-09-10 20:00,941.388,0,0,1042.56,0,3.08513,-104.256,0
Oahu,2020-09-10 22:00,758.584,0,0,815.256,0,0.773159,-57.4453,0
Oahu,2020-09-22 00:00,644.854,0,0,702.196,0,0.593181,-57.9354,0
Oahu,2020-09-22 02:00,647.586,0,0,642.177,33.2131,17.3106,-45.1146,0
Oahu,2020-09-22 04:00,653.102,0,0,658.886,0,0.431732,-6.21552,0
Oahu,2020-09-22 06:00,716.051,0,0,795.033,0,0.522084,-79.5033,0
Oahu,2020-09-22 08:00,995.934,0,0,989.184,0,0.797813,5.95182,0
Oahu,2020-09-22 10:00,1244.26,0,0,1059.08,38.097,1.37076,145.72,0
Oahu,2020-09-22 12:00,1318.71,0,0,1060.66,38.097,1.57161,218.383,0
Oahu,2020-09-22 14:00,1212.39,0,0,1053.56,0,1.91641,156.913,0
Oahu,2020-09-22 16:00,1001.67,0,0,1040.43,8.466,2.06371,-49.2816,0
Oahu,2020-09-22 18:00,961.874,0,0,1065.05,0,3.32555,-106.505,0
Oahu,2020-09-22 20:00,880.423,0,0,974.82,0,3.08513,-97.482,0
Oahu,2020-09-22 22:00,765.143,0,0,849.299,0,0.773159,-84.9299,0
Oahu,2020-10-27 00:00,759.623,0,0,690.558,0,17.474,51.591,0
Oahu,2020-10-27 02:00,761.762,0,0,630.467,1.12541,0.429723,129.74,0
Oahu,2020-10-27 04:00,638.475,0,0,652.411,0,0.431732,-14.3675,0
Oahu,2020-10-27 06:00,708.477,0,0,786.616,0,0.522084,-78.6616,0
Oahu,2020-10-27 08:00,1043.96,0,0,987.749,22.25,0.797813,33.167,0
Oahu,2020-10-27 10:00,1152.55,0,0,1049.81,0,1.37076,101.363,0
Oahu,2020-10-27 12:00,1156.06,0,0,1049.39,2.6,1.57161,102.5,0
Oahu,2020-10-27 14:00,1058.94,0,0,1016.53,0,1.91641,40.4989,0
Oahu,2020-10-27 16:00,901.075,0,0,998.902,0,2.06371,-99.8902,0
Oahu,2020-10-27 18:00,946.028,0,0,1047.45,0,3.32555,-104.745,0
Oahu,2020-10-27 20:00,868.359,0,0,961.416,0,3.08513,-96.1416,0
Oahu,2020-10-27 22:00,767.412,0,0,831.692,0,0.773159,-65.0538,0
Oahu,2020-11-22 00:00,745.859,0,0,626.799,0,0.593181,118.467,0
Oahu,2020-11-22 02:00,723.582,0,0,562.331,0,0.429723,160.821,0
Oahu,2020-11-22 04:00,632.007,0,0,584.714,0,0.431732,46.8613,0
Oahu,2020-11-22 06:00,642.121,0,0,712.887,0,0.522084,-71.2887,0
Oahu,2020-11-22 08:00,798.273,0,0,886.083,0,0.797813,-88.6083,0
Oahu,2020-11-22 10:00,945.918,0,0,959.474,0,1.37076,-14.9262,0
Oahu,2020-11-22 12:00,1009.77,0,0,944.341,5.28162,18.4525,41.6953,0
