TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2007,2020,4.0,6,1826.25
2507,2025,4.0,6,1826.25
3007,2030,4.0,6,1826.25
3507,2035,4.0,6,1826.25
4007,2040,4.0,6,1826.25
4507,2045,4.0,6,1826.25
5007,2050,4.0,6,1826.25
