load_zone,technology,period,capacity
Oahu,CIP_CT,2025,113.0
Oahu,CIP_CT,2026,113.0
Oahu,CIP_CT,2027,113.0
Oahu,CIP_CT,2028,113.0
Oahu,CIP_CT,2029,113.0
Oahu,CIP_CT,2030,113.0
Oahu,CIP_CT,2031,113.0
Oahu,CIP_CT,2032,113.0
Oahu,CIP_CT,2033,113.0
Oahu,CIP_CT,2034,113.0
Oahu,CIP_CT,2035,113.0
Oahu,CIP_CT,2036,113.0
Oahu,CIP_CT,2037,113.0
Oahu,CIP_CT,2038,113.0
Oahu,CIP_CT,2039,113.0
Oahu,CIP_CT,2040,113.0
Oahu,CIP_CT,2041,113.0
Oahu,CIP_CT,2042,113.0
Oahu,CIP_CT,2043,113.0
Oahu,CIP_CT,2044,113.0
Oahu,CIP_CT,2045,113.0
Oahu,CIP_CT,2046,113.0
Oahu,CIP_CT,2047,113.0
Oahu,CIP_CT,2048,113.0
Oahu,CIP_CT,2049,113.0
Oahu,CIP_CT,2050,113.0
Oahu,CentralTrackingPV,2020,185.7
Oahu,CentralTrackingPV,2021,206.7
Oahu,CentralTrackingPV,2022,333.69999999999993
Oahu,CentralTrackingPV,2023,333.69999999999993
Oahu,CentralTrackingPV,2024,333.69999999999993
Oahu,CentralTrackingPV,2025,971.2
Oahu,CentralTrackingPV,2026,971.2
Oahu,CentralTrackingPV,2027,971.2
Oahu,CentralTrackingPV,2028,971.2
Oahu,CentralTrackingPV,2029,971.2
Oahu,CentralTrackingPV,2030,971.2
Oahu,CentralTrackingPV,2031,971.2
Oahu,CentralTrackingPV,2032,971.2
Oahu,CentralTrackingPV,2033,971.2
Oahu,CentralTrackingPV,2034,971.2
Oahu,CentralTrackingPV,2035,971.2
Oahu,CentralTrackingPV,2036,971.2
Oahu,CentralTrackingPV,2037,971.2
Oahu,CentralTrackingPV,2038,971.2
Oahu,CentralTrackingPV,2039,971.2
Oahu,CentralTrackingPV,2040,1251.1999999999998
Oahu,CentralTrackingPV,2041,1251.1999999999998
Oahu,CentralTrackingPV,2042,1251.1999999999998
Oahu,CentralTrackingPV,2043,1251.1999999999998
Oahu,CentralTrackingPV,2044,1251.1999999999998
Oahu,CentralTrackingPV,2045,2431.2
Oahu,CentralTrackingPV,2046,2431.2
Oahu,CentralTrackingPV,2047,2431.2
Oahu,CentralTrackingPV,2048,2431.2
Oahu,CentralTrackingPV,2049,2431.2
Oahu,CentralTrackingPV,2050,2431.2000000000003
Oahu,DistBattery,2020,38.097
Oahu,DistBattery,2021,38.097
Oahu,DistBattery,2022,38.097
Oahu,DistBattery,2023,38.097
Oahu,DistBattery,2024,44.909
Oahu,DistBattery,2025,54.602000000000004
Oahu,DistBattery,2026,57.736999999999995
Oahu,DistBattery,2027,61.468999999999994
Oahu,DistBattery,2028,66.011
Oahu,DistBattery,2029,71.335
Oahu,DistBattery,2030,77.45
Oahu,DistBattery,2031,84.16899999999998
Oahu,DistBattery,2032,91.48499999999999
Oahu,DistBattery,2033,99.39799999999998
Oahu,DistBattery,2034,107.75299999999999
Oahu,DistBattery,2035,116.476
Oahu,DistBattery,2036,125.482
Oahu,DistBattery,2037,134.797
Oahu,DistBattery,2038,144.287
Oahu,DistBattery,2039,153.84300000000002
Oahu,DistBattery,2040,163.531
Oahu,DistBattery,2041,173.30799999999996
Oahu,DistBattery,2042,183.13500000000002
Oahu,DistBattery,2043,193.00899999999996
Oahu,DistBattery,2044,202.94800000000004
Oahu,DistBattery,2045,213.04600000000005
Oahu,DistBattery,2046,213.04600000000005
Oahu,DistBattery,2047,213.04600000000002
Oahu,DistBattery,2048,213.04600000000002
Oahu,DistBattery,2049,213.04600000000002
Oahu,DistBattery,2050,213.04600000000002
Oahu,DistBattery_MWh,2020,152.388
Oahu,DistBattery_MWh,2021,152.388
Oahu,DistBattery_MWh,2022,152.388
Oahu,DistBattery_MWh,2023,152.388
Oahu,DistBattery_MWh,2024,179.636
Oahu,DistBattery_MWh,2025,218.40800000000002
Oahu,DistBattery_MWh,2026,230.94799999999998
Oahu,DistBattery_MWh,2027,245.87599999999998
Oahu,DistBattery_MWh,2028,264.044
Oahu,DistBattery_MWh,2029,285.34
Oahu,DistBattery_MWh,2030,309.8
Oahu,DistBattery_MWh,2031,336.67599999999993
Oahu,DistBattery_MWh,2032,365.93999999999994
Oahu,DistBattery_MWh,2033,397.5919999999999
Oahu,DistBattery_MWh,2034,431.01199999999994
Oahu,DistBattery_MWh,2035,465.904
Oahu,DistBattery_MWh,2036,501.928
Oahu,DistBattery_MWh,2037,539.188
Oahu,DistBattery_MWh,2038,577.148
Oahu,DistBattery_MWh,2039,615.3720000000001
Oahu,DistBattery_MWh,2040,654.124
Oahu,DistBattery_MWh,2041,693.2319999999999
Oahu,DistBattery_MWh,2042,732.5400000000001
Oahu,DistBattery_MWh,2043,772.0359999999998
Oahu,DistBattery_MWh,2044,811.7920000000001
Oahu,DistBattery_MWh,2045,852.1840000000002
Oahu,DistBattery_MWh,2046,852.1840000000002
Oahu,DistBattery_MWh,2047,852.1840000000001
Oahu,DistBattery_MWh,2048,852.1840000000001
Oahu,DistBattery_MWh,2049,852.1840000000001
Oahu,DistBattery_MWh,2050,852.1840000000001
Oahu,FlatDistPV,2020,370.7000000000001
Oahu,FlatDistPV,2021,370.7000000000001
Oahu,FlatDistPV,2022,370.7000000000001
Oahu,FlatDistPV,2023,370.7000000000001
Oahu,FlatDistPV,2024,370.7000000000001
Oahu,FlatDistPV,2025,370.7000000000001
Oahu,FlatDistPV,2026,370.7000000000001
Oahu,FlatDistPV,2027,370.7000000000001
Oahu,FlatDistPV,2028,377.99999999999994
Oahu,FlatDistPV,2029,403.7999999999999
Oahu,FlatDistPV,2030,431.09999999999997
Oahu,FlatDistPV,2031,459.49999999999983
Oahu,FlatDistPV,2032,489.1999999999999
Oahu,FlatDistPV,2033,519.6999999999998
Oahu,FlatDistPV,2034,550.9999999999998
Oahu,FlatDistPV,2035,583.1999999999999
Oahu,FlatDistPV,2036,615.6999999999998
Oahu,FlatDistPV,2037,648.5999999999998
Oahu,FlatDistPV,2038,650.4773539656883
Oahu,FlatDistPV,2039,650.4773539656883
Oahu,FlatDistPV,2040,650.4773539656883
Oahu,FlatDistPV,2041,683.477353965688
Oahu,FlatDistPV,2042,716.577353965688
Oahu,FlatDistPV,2043,810.7213833315236
Oahu,FlatDistPV,2044,868.289640980531
Oahu,FlatDistPV,2045,868.289640980531
Oahu,FlatDistPV,2046,868.289640980531
Oahu,FlatDistPV,2047,868.289640980531
Oahu,FlatDistPV,2048,868.289640980531
Oahu,FlatDistPV,2049,868.289640980531
Oahu,FlatDistPV,2050,857.5945756739577
Oahu,H-Power,2020,73.0
Oahu,H-Power,2021,73.0
Oahu,H-Power,2022,73.0
Oahu,H-Power,2023,73.0
Oahu,H-Power,2024,73.0
Oahu,H-Power,2025,73.0
Oahu,H-Power,2026,73.0
Oahu,H-Power,2027,73.0
Oahu,H-Power,2028,73.0
Oahu,H-Power,2029,73.0
Oahu,H-Power,2030,73.0
Oahu,H-Power,2031,73.0
Oahu,H-Power,2032,73.0
Oahu,H-Power,2033,73.0
Oahu,H-Power,2034,73.0
Oahu,H-Power,2035,73.0
Oahu,H-Power,2036,73.0
Oahu,H-Power,2037,73.0
Oahu,H-Power,2038,73.0
Oahu,H-Power,2039,73.0
Oahu,H-Power,2040,73.0
Oahu,H-Power,2041,73.0
Oahu,H-Power,2042,73.0
Oahu,H-Power,2043,73.0
Oahu,H-Power,2044,73.0
Oahu,H-Power,2045,73.0
Oahu,H-Power,2046,73.0
Oahu,H-Power,2047,73.0
Oahu,H-Power,2048,73.0
Oahu,H-Power,2049,73.0
Oahu,H-Power,2050,73.0
Oahu,Hawaii_Cogen,2020,12.2
Oahu,Hawaii_Cogen,2021,12.2
Oahu,Hawaii_Cogen,2022,12.2
Oahu,Hawaii_Cogen,2023,12.2
Oahu,Hawaii_Cogen,2024,12.2
Oahu,Hawaii_Cogen,2025,12.2
Oahu,Hawaii_Cogen,2026,12.2
Oahu,Hawaii_Cogen,2027,12.2
Oahu,Hawaii_Cogen,2028,12.2
Oahu,Hawaii_Cogen,2029,12.2
Oahu,Hawaii_Cogen,2030,12.2
Oahu,Hawaii_Cogen,2031,12.2
Oahu,Hawaii_Cogen,2032,12.2
Oahu,Hawaii_Cogen,2033,12.2
Oahu,Hawaii_Cogen,2034,12.2
Oahu,Hawaii_Cogen,2035,12.2
Oahu,Hawaii_Cogen,2036,12.2
Oahu,Hawaii_Cogen,2037,12.2
Oahu,Hawaii_Cogen,2038,12.2
Oahu,Hawaii_Cogen,2039,12.2
Oahu,Hawaii_Cogen,2040,12.2
Oahu,Hawaii_Cogen,2041,12.2
Oahu,Hawaii_Cogen,2042,12.2
Oahu,Hawaii_Cogen,2043,12.2
Oahu,Hawaii_Cogen,2044,12.2
Oahu,Hawaii_Cogen,2045,0.0
Oahu,Hawaii_Cogen,2046,0.0
Oahu,Hawaii_Cogen,2047,0.0
Oahu,Hawaii_Cogen,2048,0.0
Oahu,Hawaii_Cogen,2049,0.0
Oahu,Hawaii_Cogen,2050,0.0
Oahu,IC_Barge,2020,0.0
Oahu,IC_Barge,2021,0.0
Oahu,IC_Barge,2022,0.0
Oahu,IC_Barge,2023,0.0
Oahu,IC_Barge,2024,0.0
Oahu,IC_Barge,2025,0.0
Oahu,IC_Barge,2026,0.0
Oahu,IC_Barge,2027,0.0
Oahu,IC_Barge,2028,0.0
Oahu,IC_Barge,2029,0.0
Oahu,IC_Barge,2030,0.0
Oahu,IC_Barge,2031,0.0
Oahu,IC_Barge,2032,0.0
Oahu,IC_Barge,2033,0.0
Oahu,IC_Barge,2034,0.0
Oahu,IC_Barge,2035,0.0
Oahu,IC_Barge,2036,0.0
Oahu,IC_Barge,2037,0.0
Oahu,IC_Barge,2038,0.0
Oahu,IC_Barge,2039,0.0
Oahu,IC_Barge,2040,0.0
Oahu,IC_Barge,2041,0.0
Oahu,IC_Barge,2042,0.0
Oahu,IC_Barge,2043,0.0
Oahu,IC_Barge,2044,0.0
Oahu,IC_Barge,2045,67.14556800000001
Oahu,IC_Barge,2046,67.14556800000001
Oahu,IC_Barge,2047,67.14556800000001
Oahu,IC_Barge,2048,67.14556800000001
Oahu,IC_Barge,2049,67.14556800000001
Oahu,IC_Barge,2050,67.14556800000001
Oahu,IC_Schofield,2020,48.84
Oahu,IC_Schofield,2021,48.84
Oahu,IC_Schofield,2022,48.84
Oahu,IC_Schofield,2023,48.84
Oahu,IC_Schofield,2024,48.84
Oahu,IC_Schofield,2025,48.84
Oahu,IC_Schofield,2026,48.84
Oahu,IC_Schofield,2027,48.84
Oahu,IC_Schofield,2028,48.84
Oahu,IC_Schofield,2029,48.84
Oahu,IC_Schofield,2030,48.84
Oahu,IC_Schofield,2031,48.84
Oahu,IC_Schofield,2032,48.84
Oahu,IC_Schofield,2033,48.84
Oahu,IC_Schofield,2034,48.84
Oahu,IC_Schofield,2035,48.84
Oahu,IC_Schofield,2036,48.84
Oahu,IC_Schofield,2037,48.84
Oahu,IC_Schofield,2038,48.84
Oahu,IC_Schofield,2039,48.84
Oahu,IC_Schofield,2040,48.84
Oahu,IC_Schofield,2041,48.84
Oahu,IC_Schofield,2042,48.84
Oahu,IC_Schofield,2043,48.84
Oahu,IC_Schofield,2044,48.84
Oahu,IC_Schofield,2045,48.84
Oahu,IC_Schofield,2046,48.84
Oahu,IC_Schofield,2047,48.84
Oahu,IC_Schofield,2048,0.0
Oahu,IC_Schofield,2049,0.0
