owner,variable,gen_tech,gen_vintage,gen_is_intermittent,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
HECO,amortized_cost,Waiau_3,1947,0,1625205.637339458,1625205.637339458,1625205.637339458,,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,amortized_cost,Waiau_4,1950,0,1628963.5702203657,1628963.5702203657,1628963.5702203657,,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,amortized_cost,Waiau_5,1959,0,1916683.5682790529,1916683.5682790529,1916683.5682790529,1916683.5682790529,1916683.5682790529,1916683.5682790529,,,,,,,,,,,,,,,,,,,,,,,,
HECO,amortized_cost,Waiau_6,1961,0,1886312.22296878,1886312.22296878,1886312.22296878,1886312.22296878,1886312.22296878,1886312.22296878,,,,,,,,,,,,,,,,,,,,,,,,
HECO,amortized_cost,Waiau_7,1966,0,2922902.4912918108,2922902.4912918108,2922902.4912918108,2922902.4912918108,2922902.4912918108,2922902.4912918108,2922902.4912918108,2922902.4912918108,2922902.4912918108,2922902.4912918108,2922902.4912918108,,,,,,,,,,,,,,,,,,,
HECO,amortized_cost,Waiau_8,1968,0,3044450.263059773,3044450.263059773,3044450.263059773,3044450.263059773,3044450.263059773,3044450.263059773,3044450.263059773,3044450.263059773,3044450.263059773,3044450.263059773,3044450.263059773,,,,,,,,,,,,,,,,,,,
HECO,amortized_cost,Waiau_9,1973,0,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723,1838371.675620723
HECO,capacity_in_place,Airport_DSG,2013,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
HECO,capacity_in_place,CIP_CT,2009,0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0
HECO,capacity_in_place,IC_Schofield,2018,0,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,48.84,,
HECO,capacity_in_place,Kahe_1,1963,0,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,,,,,,,,,,,,,,,
HECO,capacity_in_place,Kahe_2,1964,0,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,,,,,,,,,,,,,,,
HECO,capacity_in_place,Kahe_3,1970,0,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,,,,,,,,,,,
HECO,capacity_in_place,Kahe_4,1972,0,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,,,,,,,,,,,
HECO,capacity_in_place,Kahe_5,1974,0,134.3,134.3,134.3,134.3,134.3,134.3,134.3,134.3,,,,,,,,,,,,,,,,,,,,,,
HECO,capacity_in_place,Kahe_6,1981,0,134.4,134.4,134.4,134.4,134.4,134.4,134.4,134.4,,,,,,,,,,,,,,,,,,,,,,
