load_zone,period,AES,Airport_DSG,Battery_Bulk,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,Hawaii_Cogen,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,GeneratePumpedHydro
Oahu,2020,1386.818352959471,0.0,4.159914961788106e-14,0.0,432.935932547418,44.332181689130984,655.7206100977033,374.92800000000045,92.74500000000002,1.1606497936726274,332.4971162604648,328.0264377533859,363.1980021654769,355.45688878577374,575.7326204968206,503.7711329635744,767.9235775032944,342.95942228335656,57.773124261750255,0.0,184.37447928147273,510.4330452186564,153.4790000000003,0.0,0.0,0.0,0.0,0.0,251.2190406765484,276.0637636391742,0.0,0.0
Oahu,2021,1355.5143103832404,0.0,19.30743294683159,0.0,484.6170475234758,79.00134675527318,707.886769844775,374.92800000000005,92.74500000000003,0.0,327.0728575700537,325.9468079737878,356.567135411331,349.4764296779722,556.1014241571272,498.2329009537188,765.1654910457933,280.8742778541954,51.327587316652156,0.0,262.83146472595683,510.43304521864053,153.47900000000016,0.0,0.0,0.0,0.0,0.0,243.06982497626382,274.4431078411228,0.0,1.5672191553076488e-11
Oahu,2022,1322.9848863969305,0.0,210.9595393682415,0.0,797.1647428548689,94.09980557171413,748.2532306317753,374.9280000000004,92.74500000000005,0.0,321.45705639614863,321.4919999999994,330.71432654551984,328.3537807330118,508.28353337243584,479.74073727647954,758.4156188707035,219.46722008253101,38.69888865486895,0.0,262.8314647259569,510.3533982828651,153.47900000000033,0.0,0.0,0.0,0.0,0.0,238.6286657496566,256.00965524820646,0.0,0.0
Oahu,2023,0,0.0,379.26647955840434,0.0,1085.3272397135936,70.01035683104499,782.1373699076777,374.92800000000005,92.74500000000003,0.8987134312345956,18.54439465375552,422.0718632764132,706.2196726272348,527.5377499209413,1144.0942459685414,235.52449204223154,788.4,788.4,245.2799999999997,0.0,262.8314647259569,510.4330452186562,153.47900000000016,0.0,0,0,0.0,0.0,0.0,11.54827216818909,0.0,0.0
Oahu,2024,0,0.0,524.6867263117513,0.0,1509.160146141168,56.191375371233065,822.9493024756425,374.9280000000004,92.74500000000005,0.0,1.987768913342502,319.94195937504435,695.1558530397149,453.94894720943967,1123.7453321151145,82.06489285197344,788.3999999999994,788.3999999999994,245.28000000000023,0.0,262.831464725957,510.43304521865645,153.47900000000035,0.0,0,0,0.0,0.0,0.0,11.5427813598697,0.0,0.0
Oahu,2025,0,0.0,657.5774533490991,0.0,1872.0771075405617,89.3926970457906,865.944400319366,374.92800000000005,92.74500000000003,0.0,3.3218788873046705,333.3872678635611,675.6917663439812,285.7397939218646,1099.212783340912,0.0,788.4,788.4,245.2799999999997,0.0,262.8314647259569,510.43304521865645,153.47900000000016,0.0,0,0,0.0,0.0,0.0,18.483063219051928,0.0,0.0
Oahu,2026,0,0.0,721.9615930174368,0.0,2401.136421947264,111.41671507973382,911.7077870876545,374.9280000000004,92.74500000000005,0.0,50.528765293840564,94.56086701936448,549.6271528197392,152.4387725397384,900.4553476114677,53.90673854065405,766.6931219701821,782.4538808724589,221.24121045392044,0.0,393.5931071334303,510.4330452186564,153.47900000000035,0.0,0,0,0,0,0.0,4.240991583693416,0.0,0.0
Oahu,2027,0,0.0,946.1218827773854,0.0,2886.0910923385745,109.1931959614857,937.0402989355232,374.92800000000005,92.74500000000003,1.5206079574897555,0.0,101.28018601324811,431.18290603522354,29.632859213082234,738.5605598528834,17.696946612871162,775.5220770288863,711.1324621733152,205.08504020269882,0.0,523.5545719007429,495.18596289453694,153.47900000000016,0.21327647867950456,0,0,0,0,0.0,0.0,0.46802338376891367,0.0
Oahu,2028,0,0.0,1084.1344220303324,0.0,3327.2911587668264,124.00977232700069,927.1218841511741,374.9280000000004,92.74500000000005,3.0184636762140826,0.0,11.29682530949126,259.69279700493644,25.09442778541954,679.1000654908157,0.0,679.7314167812923,692.2401257433377,176.87488308115567,0.0,653.9552676418609,473.1278264183293,153.47900000000033,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Oahu,2029,0,0.2891884456671248,1217.1055573266876,0.0,3710.262025336823,141.2576370412298,876.4198738983481,374.92800000000005,92.74500000000003,2.84023780588486,0.0,50.62202355735673,233.21258450125728,11.739261488053389,429.57896384994643,3.904044016506185,667.3022611784729,638.6837276478681,157.01576166788826,0.0,782.8025593427757,440.84255185844694,153.47900000000016,0.0,0,0,0,0,0.0,0.0,0.0,0.0
