DISCRETE_GEN_TPS_1,DISCRETE_GEN_TPS_2,CommitGenUnits
Oahu_AES,2107021210,1.0
Oahu_AES,2107021212,1.0
Oahu_AES,2107021214,1.0
Oahu_AES,2107021216,1.0
Oahu_AES,2107021218,1.0
Oahu_AES,2107021220,1.0
Oahu_AES,2107021222,1.0
Oahu_AES,2107050200,1.0
Oahu_AES,2107050202,1.0
Oahu_AES,2107050204,1.0
Oahu_AES,2107050206,1.0
Oahu_AES,2107050208,1.0
Oahu_AES,2107050210,1.0
Oahu_AES,2107050212,1.0
Oahu_AES,2107050214,1.0
Oahu_AES,2107050216,1.0
Oahu_AES,2107050218,1.0
Oahu_AES,2107050220,1.0
Oahu_AES,2107050222,1.0
Oahu_AES,2107092200,1.0
Oahu_AES,2107092202,1.0
Oahu_AES,2107092204,1.0
Oahu_AES,2107092206,1.0
Oahu_AES,2107092208,1.0
Oahu_AES,2107092210,1.0
Oahu_AES,2107092212,1.0
Oahu_AES,2107092214,1.0
Oahu_AES,2107092216,1.0
Oahu_AES,2107092218,1.0
Oahu_AES,2107092220,1.0
Oahu_AES,2107092222,1.0
Oahu_AES,2107102700,1.0
Oahu_AES,2107102702,1.0
Oahu_AES,2107102704,1.0
Oahu_AES,2107102706,1.0
Oahu_AES,2107102708,1.0
Oahu_AES,2107102710,1.0
Oahu_AES,2107102712,1.0
Oahu_AES,2107102714,1.0
Oahu_AES,2107102716,1.0
Oahu_AES,2107102718,1.0
Oahu_AES,2107102720,1.0
Oahu_AES,2107102722,1.0
Oahu_AES,2107121500,1.0
Oahu_AES,2107121502,1.0
Oahu_AES,2107121504,1.0
Oahu_AES,2107121506,1.0
Oahu_AES,2107121508,1.0
Oahu_AES,2107121510,1.0
Oahu_AES,2107121512,1.0
Oahu_AES,2107121514,1.0
Oahu_AES,2107121516,1.0
Oahu_AES,2107121518,1.0
Oahu_AES,2107121520,1.0
Oahu_AES,2107121522,1.0
Oahu_AES,2108022000,1.0
Oahu_AES,2108022002,1.0
Oahu_AES,2108022004,1.0
Oahu_AES,2108022006,1.0
Oahu_AES,2108022008,1.0
Oahu_AES,2108022010,1.0
Oahu_AES,2108022012,1.0
Oahu_AES,2108022014,1.0
Oahu_AES,2108022016,1.0
Oahu_AES,2108022018,1.0
Oahu_AES,2108022020,1.0
Oahu_AES,2108022022,1.0
Oahu_AES,2108041000,1.0
Oahu_AES,2108041002,1.0
Oahu_AES,2108041004,1.0
Oahu_AES,2108041006,1.0
Oahu_AES,2108041008,1.0
Oahu_AES,2108041010,1.0
Oahu_AES,2108041012,1.0
Oahu_AES,2108041014,1.0
Oahu_AES,2108041016,1.0
Oahu_AES,2108041018,1.0
Oahu_AES,2108041020,1.0
Oahu_AES,2108041022,1.0
Oahu_AES,2108061700,1.0
Oahu_AES,2108061702,1.0
Oahu_AES,2108061704,1.0
Oahu_AES,2108061706,1.0
Oahu_AES,2108061708,1.0
Oahu_AES,2108061710,1.0
Oahu_AES,2108061712,1.0
Oahu_AES,2108061714,1.0
Oahu_AES,2108061716,1.0
Oahu_AES,2108061718,1.0
Oahu_AES,2108061720,1.0
Oahu_AES,2108061722,1.0
Oahu_AES,2108081800,1.0
Oahu_AES,2108081802,1.0
Oahu_AES,2108081804,1.0
Oahu_AES,2108081806,1.0
Oahu_AES,2108081808,1.0
Oahu_AES,2108081810,1.0
Oahu_AES,2108081812,1.0
Oahu_AES,2108081814,1.0
Oahu_AES,2108081816,1.0
Oahu_AES,2108081818,1.0
Oahu_AES,2108081820,1.0
Oahu_AES,2108081822,1.0
Oahu_AES,2108091000,1.0
Oahu_AES,2108091002,1.0
Oahu_AES,2108091004,1.0
Oahu_AES,2108091006,1.0
Oahu_AES,2108091008,1.0
Oahu_AES,2108091010,1.0
Oahu_AES,2108091012,1.0
Oahu_AES,2108091014,1.0
Oahu_AES,2108091016,1.0
Oahu_AES,2108091018,1.0
Oahu_AES,2108091020,1.0
Oahu_AES,2108091022,1.0
Oahu_AES,2108112200,1.0
Oahu_AES,2108112202,1.0
Oahu_AES,2108112204,1.0
Oahu_AES,2108112206,1.0
Oahu_AES,2108112208,1.0
Oahu_AES,2108112210,1.0
Oahu_AES,2108112212,1.0
Oahu_AES,2108112214,1.0
Oahu_AES,2108112216,1.0
Oahu_AES,2108112218,1.0
Oahu_AES,2108112220,1.0
Oahu_AES,2108112222,1.0
Oahu_AES,2207011200,1.0
Oahu_AES,2207011202,1.0
Oahu_AES,2207011204,1.0
Oahu_AES,2207011206,1.0
Oahu_AES,2207011208,1.0
Oahu_AES,2207011210,1.0
Oahu_AES,2207011212,1.0
Oahu_AES,2207011214,1.0
Oahu_AES,2207011216,1.0
Oahu_AES,2207011218,1.0
Oahu_AES,2207011220,1.0
Oahu_AES,2207011222,1.0
Oahu_AES,2207011900,1.0
Oahu_AES,2207011902,1.0
Oahu_AES,2207011904,1.0
Oahu_AES,2207011906,1.0
Oahu_AES,2207011908,1.0
Oahu_AES,2207011910,1.0
Oahu_AES,2207011912,1.0
Oahu_AES,2207011914,1.0
Oahu_AES,2207011916,1.0
Oahu_AES,2207011918,1.0
Oahu_AES,2207011920,1.0
Oahu_AES,2207011922,1.0
Oahu_AES,2207021200,1.0
Oahu_AES,2207021202,1.0
Oahu_AES,2207021204,1.0
Oahu_AES,2207021206,1.0
Oahu_AES,2207021208,1.0
Oahu_AES,2207021210,1.0
Oahu_AES,2207021212,1.0
Oahu_AES,2207021214,1.0
Oahu_AES,2207021216,1.0
Oahu_AES,2207021218,1.0
Oahu_AES,2207021220,1.0
Oahu_AES,2207021222,1.0
Oahu_AES,2207050200,1.0
Oahu_AES,2207050202,1.0
Oahu_AES,2207050204,1.0
Oahu_AES,2207050206,1.0
Oahu_AES,2207050208,1.0
Oahu_AES,2207050210,1.0
Oahu_AES,2207050212,1.0
Oahu_AES,2207050214,1.0
Oahu_AES,2207050216,1.0
Oahu_AES,2207050218,1.0
Oahu_AES,2207050220,1.0
Oahu_AES,2207050222,1.0
Oahu_AES,2207092200,1.0
Oahu_AES,2207092202,1.0
Oahu_AES,2207092204,1.0
Oahu_AES,2207092206,1.0
Oahu_AES,2207092208,1.0
Oahu_AES,2207092210,1.0
Oahu_AES,2207092212,1.0
Oahu_AES,2207092214,1.0
Oahu_AES,2207092216,1.0
Oahu_AES,2207092218,1.0
Oahu_AES,2207092220,1.0
Oahu_AES,2207092222,1.0
Oahu_AES,2207102700,1.0
Oahu_AES,2207102702,1.0
Oahu_AES,2207102704,1.0
Oahu_AES,2207102706,1.0
Oahu_AES,2207102708,1.0
Oahu_AES,2207102710,1.0
Oahu_AES,2207102712,1.0
Oahu_AES,2207102714,1.0
Oahu_AES,2207102716,1.0
Oahu_AES,2207102718,1.0
Oahu_AES,2207102720,1.0
Oahu_AES,2207102722,1.0
Oahu_AES,2207121500,1.0
