load_zone,period,Battery,Biodiesel,Biodiesel/Coal/Diesel/LNG/LSFO,Biodiesel/Diesel/LNG,Biodiesel/Diesel/LNG/LSFO,MSW,SUN,WND,hydro,fuel cells
Oahu,2020,38.097,0.0,180.0,48.84,1013.5,73.0,859.6999999999992,99.0,0.0,0
Oahu,2021,63.565,0.0,180.0,48.84,1013.5,73.0,910.209999999999,123.0,0.0,0
Oahu,2022,200.25799999999998,0.0,180.0,48.84,1013.5,73.0,1060.044999999999,123.0,0.0,0
Oahu,2023,490.39300000000003,0.0,0.0,48.84,930.6,73.0,1196.2129999999993,123.0,0.0,0
Oahu,2024,666.125,0.0,0.0,48.84,930.6,73.0,1396.299999999999,123.0,0.0,0
Oahu,2025,670.667,0.0,0.0,48.84,930.6,73.0,1570.6219999999992,123.0,0.0,0
Oahu,2026,675.991,0.0,0.0,48.84,930.6,73.0,1825.5191723895823,163.0,0.0,0
Oahu,2027,682.106,0.0,0.0,151.64000000000001,762.4,73.0,2081.7683447791655,203.0,0.0,0
Oahu,2028,688.825,0.0,0.0,151.64000000000001,762.4,73.0,2339.1645171687487,243.0,0.0,0
Oahu,2029,696.141,8.0,0.0,151.64000000000001,762.4,73.0,2597.8666895583315,283.0,0.0,0
Oahu,2030,704.054,8.0,0.0,264.64,762.4,73.0,2857.3978619479144,323.0,150.0,0
Oahu,2031,712.409,8.0,0.0,264.64,762.4,73.0,2911.8414981733717,323.0,150.0,0
Oahu,2032,721.132,8.0,0.0,264.64,762.4,73.0,2967.1991343988293,323.0,150.0,0
Oahu,2033,730.1379999999999,8.0,0.0,264.64,762.4,73.0,3022.7427706242865,323.0,150.0,0
Oahu,2034,739.453,8.0,0.0,264.64,762.4,73.0,3078.846406849744,323.0,150.0,0
Oahu,2035,748.943,8.0,0.0,264.64,680.3,73.0,3135.1890430752014,323.0,150.0,0
Oahu,2036,764.9918839147717,8.0,0.0,264.64,680.3,73.0,3199.428672998534,323.0,150.0,0
Oahu,2037,781.1727678295434,8.0,0.0,264.64,680.3,73.0,3264.0583029218656,323.0,150.0,0
Oahu,2038,797.4426517443151,8.0,0.0,264.64,680.3,73.0,3328.523932845199,323.0,150.0,0
Oahu,2039,813.7625356590868,8.0,0.0,264.64,508.9,73.0,3393.0795627685325,323.0,150.0,0
Oahu,2040,830.1294195738585,8.0,0.0,264.64,508.9,73.0,3457.796192691865,323.0,150.0,0
Oahu,2041,891.1077254847373,8.0,0.0,264.64,508.9,73.0,3740.4770240812254,323.0,150.0,0
Oahu,2042,952.2450313956163,8.0,0.0,264.64,508.9,73.0,4023.0438554705865,323.0,150.0,0
Oahu,2043,1013.5223373064953,8.0,0.0,264.64,508.9,73.0,4306.339686859947,323.0,150.0,0
Oahu,2044,1074.9316432173741,8.0,0.0,264.64,508.9,73.0,4589.949518249307,462.4519504167757,150.0,0
Oahu,2045,1136.448949128253,8.0,0.0,264.64,208.0,73.0,4874.211349638668,601.9039008335513,150.0,0
Oahu,2046,1143.2682876708786,8.0,0.0,264.64,208.0,73.0,4874.211349638668,740.2293703968573,150.0,0
Oahu,2047,1143.2682876708786,8.0,0.0,264.64,208.0,73.0,4874.211349638668,878.5548399601632,150.0,0
Oahu,2048,1143.2682876708786,8.0,0.0,264.64,208.0,73.0,4874.211349638666,1016.8803095234691,150.0,0
Oahu,2049,1143.2682876708786,8.0,0.0,264.64,208.0,73.0,4874.2113496386655,1155.205779086775,150.0,0
Oahu,2050,1143.2682876708786,8.0,0.0,215.8,208.0,73.0,4874.211349638666,1293.531248650081,150.0,0
