load_zone,period,AES,Airport_DSG,Battery_Bulk,Battery_Bulk_MWh,CIP_CT,CentralTrackingPV,DistBattery,DistBattery_MWh,FlatDistPV,H-Power,Hawaii_Cogen,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,fuel cells
Oahu,2020,180.0,8.0,0.0,0.0,113.0,185.7,38.097,152.388,370.7000000000001,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,99.0,303.299999999999,20.0,49.9,46.6,46.6,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2021,180.0,8.0,12.5,50.0,113.0,206.7,51.065,204.26,400.21,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,303.299999999999,20.0,49.9,46.6,46.6,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2022,180.0,8.0,139.5,558.0,113.0,333.7,60.757999999999996,243.03199999999998,423.045,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,303.299999999999,20.0,49.9,46.6,46.6,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2023,0.0,8.0,426.5,1530.99,113.0,450.7000000000001,63.893,255.572,442.213,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2024,0.0,8.0,598.5,2345.99,113.0,627.7,67.625,270.5,465.3,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2025,0.0,8.0,598.5,2345.99,113.0,777.7,72.167,288.668,489.622,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2026,0.0,8.0,598.5,2637.4354995190815,113.0,1006.7091723895833,77.491,309.964,515.51,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,163.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,82.9,86.1,52.9,0.0,0.0
Oahu,2027,0.0,8.0,598.5,2928.880999038163,113.0,1235.7183447791665,83.606,334.424,542.75,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,203.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,82.9,86.1,52.9,0.0,0.0
Oahu,2028,0.0,8.0,598.5,3220.3264985572446,113.0,1464.7275171687497,90.32499999999999,361.29999999999995,571.137,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,243.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,82.9,86.1,52.9,0.0,0.0
Oahu,2029,0.0,8.0,598.5,3511.771998076326,113.0,1693.7366895583327,97.64099999999999,390.56399999999996,600.8299999999999,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,283.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,82.9,86.1,52.9,0.0,0.0
Oahu,2030,0.0,8.0,598.5,3803.2174975954076,113.0,1922.7458619479157,105.554,422.216,631.3520000000001,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,82.9,86.1,52.9,150.0,0.0
Oahu,2031,0.0,8.0,598.5,3959.593715735474,113.0,1945.869498173373,113.90899999999999,455.63599999999997,662.672,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2032,0.0,8.0,598.5,4115.96993387554,113.0,1968.9931343988305,122.63199999999999,490.52799999999996,694.9060000000001,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2033,0.0,8.0,598.5,4272.346152015605,113.0,1992.1167706242877,131.63799999999998,526.5519999999999,727.326,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2034,0.0,8.0,598.5,4428.722370155671,113.0,2015.2404068497453,140.95299999999997,563.8119999999999,760.306,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2035,0.0,8.0,598.5,4585.0985882957375,113.0,2038.3640430752027,150.44300000000004,601.7720000000002,793.5249999999999,73.0,12.2,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
