gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Battery_Bulk,Battery,2022,-23.439948818693505,0.0,0.0,139.5,4385037.29025123,4653303.203581097,42.84395254606337,0.1726318222027802,234.39948818693503,210.95953936824154
Battery_Bulk,Battery,2023,-42.14071995093382,0.0,0.0,426.5,12715926.98203447,13493856.458998157,69.10651178967821,0.10151291963320547,421.4071995093382,379.2664795584044
Battery_Bulk,Battery,2024,-58.298525145750126,0.0,0.0,598.5,17328781.52473267,18388914.220288347,68.07432693427575,0.10007643276985291,582.9852514575011,524.6867263117513
Battery_Bulk,Battery,2025,-73.06416148323319,0.0,0.0,598.5,17328781.52473267,18388914.220288347,54.31709308630897,0.12542342411376592,730.6416148323324,657.5774533490992
Battery_Bulk,Battery,2026,-80.21795477971516,0.0,0.0,598.5,17328781.52473267,18388914.220288347,49.473124457686176,0.13770377103669298,802.1795477971518,721.9615930174366
Battery_Bulk,Battery,2027,-105.1246536419317,0.0,0.0,598.5,17328781.52473267,18388914.220288347,37.75168548070153,0.1804591163558411,1051.2465364193172,946.1218827773854
Battery_Bulk,Battery,2028,-120.45938022559254,0.0,0.0,598.5,17328781.52473267,18388914.220288347,32.94581835906478,0.20678301957907172,1204.593802255925,1084.1344220303324
Battery_Bulk,Battery,2029,-135.23395081407645,0.0,0.0,598.5,17328781.52473267,18388914.220288347,29.346424005714994,0.23214534763977798,1352.3395081407634,1217.105557326687
Battery_Bulk,Battery,2030,-145.56044944291608,0.0,0.0,598.5,17328781.52473267,18388914.220288347,27.26449990877677,0.24987202499899747,1455.6044944291607,1310.0440449862444
Battery_Bulk,Battery,2031,-152.84534463939642,0.0,0.0,598.5,17328781.52473267,18388914.220288347,25.965022813884005,0.2623774241071795,1528.453446393964,1375.6081017545675
Battery_Bulk,Battery,2032,-158.21992146676274,0.0,0.0,598.5,17328781.52473267,18388914.220288347,25.083016245786617,0.27160353188924813,1582.1992146676266,1423.979293200864
Battery_Bulk,Battery,2033,-161.71019090061566,0.0,0.0,598.5,17328781.52473267,18388914.220288347,24.54163734799463,0.2775949993144086,1617.1019090061566,1455.3917181055408
Battery_Bulk,Battery,2034,-169.00883479011577,0.0,0.0,598.5,17328781.52473267,18388914.220288347,23.481807122606067,0.290123999708373,1690.0883479011572,1521.0795131110413
Battery_Bulk,Battery,2035,-174.91873064810818,0.0,0.0,598.5,17328781.52473267,18388914.220288347,22.688438487138168,0.30026904701498275,1749.1873064810814,1574.268575832973
Battery_Bulk,Battery,2036,-176.16376109593884,0.0,0.0,604.9928839147717,17262633.02957363,18318718.921124086,22.44209322894996,0.2991608171295829,1761.6376109593875,1585.4738498634483
Battery_Bulk,Battery,2037,-178.2730004073412,0.0,0.0,611.4857678295434,15735649.724649064,16698318.492508069,20.214918905927576,0.29952813595226546,1782.7300040734108,1604.4570036660693
Battery_Bulk,Battery,2038,-180.50788755317663,0.0,0.0,617.978651744315,12695765.825468458,13472461.891922278,16.107777321538393,0.30009662729693465,1805.0788755317662,1624.5709879785895
Battery_Bulk,Battery,2039,-180.1914611347285,0.0,0.0,624.4715356590867,11256038.031361852,11944655.053997472,14.306198368271719,0.29645580770818275,1801.914611347283,1621.7231502125546
Battery_Bulk,Battery,2040,-183.44343314854297,0.0,0.0,630.9644195738584,11369838.445654439,12065417.500778446,14.194660897307314,0.2987003304550093,1834.43433148543,1650.990898336887
Battery_Bulk,Battery,2041,-202.99605349768552,0.0,0.0,682.0037254847374,12251622.041694408,13001146.47198703,13.822254767227886,0.3058012462640394,2029.9605349768528,1826.964481479167
Battery_Bulk,Battery,2042,-218.51215392683284,0.0,0.0,733.0430313956163,13120626.165327998,13923314.153757805,13.751556623630036,0.30625594769460734,2185.121539268326,1966.6093853414932
Battery_Bulk,Battery,2043,-230.5370422312718,0.0,0.0,784.0823373064952,13976850.816555215,14831920.546090776,13.884860172008178,0.3020768538081335,2305.370422312719,2074.833380081447
Battery_Bulk,Battery,2044,-215.79563717598998,0.0,0.0,835.1216432173742,14820295.995376058,15726965.648985941,15.728493064662056,0.2654797037226107,2157.9563717599003,1942.1607345839107
Battery_Bulk,Battery,2045,-235.83278497803005,0.0,0.0,886.160949128253,15650961.701790519,16608449.4624433,15.198815629396556,0.2734198086787303,2358.327849780301,2122.4950648022714
Battery_Bulk,Battery,2046,-214.01469627756745,0.0,0.0,892.9802876708786,15760239.11102475,16724412.197720189,16.865223574601746,0.24622952561185565,2140.1469627756724,1926.132266498105
Battery_Bulk,Battery,2047,-184.5124553669764,0.0,0.0,892.9802876708786,15760239.11102475,16724412.197720189,19.5618539344291,0.21228642305744053,1845.1245536697638,1660.6120983027872
Battery_Bulk,Battery,2048,-157.1746532928483,0.0,0.0,892.9802876708786,15760239.11102475,16724412.197720189,22.96429879343591,0.18083356419744379,1571.7465329284814,1414.5718796356332
Battery_Bulk,Battery,2049,-135.89925288249216,0.0,0.0,892.9802876708786,15760239.11102475,16724412.197720189,26.559422693019542,0.15635565757999353,1358.9925288249203,1223.0932759424281
Battery_Bulk,Battery,2050,-124.511279438781,0.0,0.0,892.9802876708786,15760239.11102475,16724412.197720189,28.98858414467031,0.14325349521686004,1245.1127943878096,1120.6015149490286
Battery_Conting,Battery,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2021,-1.8488986591163278e-13,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.8488986591163278e-13
Battery_Conting,Battery,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
