PERIOD,EnergyCostReal_per_MWh,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,SystemDemand_MWh
2020,152.07358689711455,1168994734.5283241,1204064576.5641744,7917644.353182678
2021,145.39751711277998,1086787567.573276,1152972930.4384892,7929797.931447253
2022,148.7726239949456,1088322660.2887566,1189239555.6093526,7993671.978587646
2023,155.08747484870827,1110115316.7849832,1249444569.15744,8056386.051654426
2024,157.275449439252,1101522538.2111502,1276966520.8053184,8119299.772203479
2025,155.42519853289522,1070435116.2219169,1278155508.8100674,8223605.44412977
2026,151.59668751186192,1016363185.8567449,1249998520.0651712,8245552.990512165
2027,148.89981343449384,971839042.6368906,1231096623.1367977,8267952.7579018725
2028,147.22115548967096,935298108.4602783,1220351890.8051882,8289242.716144882
2029,146.90673236858564,912894567.6127367,1226853962.0290277,8351243.9644418685
2030,144.6850432867402,880648557.816204,1219023561.9338255,8425359.900663236
2031,144.12399254279018,854903281.616966,1218887660.9659152,8457215.481343465
2032,144.91386515462457,835382919.3835067,1226787980.756271,8465635.634294039
2033,145.48199906423707,820012122.7582296,1240341911.1407273,8525741.46024113
2034,146.08624886300663,801494508.8560792,1248702329.3822052,8547706.160579044
2035,145.41944053905084,776972558.7659563,1246812868.0547922,8573907.74873717
2036,145.67631224669177,758967232.1029522,1254457192.5532103,8611264.063500471
2037,144.82147435346408,735898145.1605295,1252817332.0264084,8650770.458037678
2038,143.43758940955453,710621321.7976078,1246078789.2177567,8687254.117606873
2039,142.0929370510249,687331331.6267827,1241396839.991422,8736513.339474728
2040,142.7170165512013,675004294.0931839,1255706824.1821513,8798578.155055901
2041,142.23455960984782,654501595.2731625,1254092737.807727,8817074.70566737
2042,141.13137051879286,632998909.9153569,1249278110.1667943,8851881.091882702
2043,138.86895715173478,608173002.1916219,1236290494.5634599,8902569.155269384
2044,141.08529050173476,603630240.6990823,1263867675.6476011,8958181.757665664
2045,135.34742389261746,564865764.1361669,1218184574.270538,9000426.747959584
2046,136.702252804381,556567073.4955826,1236296321.2180963,9043715.78270344
2047,136.11211028801046,540595465.4716201,1236843326.8305879,9086945.490841722
2048,137.43148554887532,532913734.93107617,1255846125.417201,9137979.702406544
2049,139.785897970963,528954558.04014117,1283911547.6955492,9184843.15179096
2050,140.15785997006265,517720861.32366776,1294343749.7602146,9234899.491449734
