GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2017,4554559.22733707,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2018,3458712.70495851,.,18727.2
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2019,3054914.58127099,.,13525.2
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2020,2936143.39769458,.,12995.1631430358
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2025,2342287.47981252,.,10366.7988259544
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2045,1443121.54696947,.,6387.15396285606
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2025,2342287.47981252,.,10366.7988259544
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2045,1443121.54696947,.,6387.15396285606
Oahu_H-Power,1989,2774552.42308528,.,81542.3497598936
Oahu_Hawaii_Cogen,1982,553682.621826438,.,18925.8787097037
Oahu_IC_Barge,2025,1432589.28817035,.,37300.6122336
Oahu_IC_Barge,2045,1432412.49087634,.,37300.6122336
Oahu_IC_MCBH,2025,3251442.99831199,.,37300.6122336
Oahu_IC_MCBH,2045,3091301.01071557,.,37300.6122336
Oahu_IC_Schofield,2018,2654054.25191349,.,37300.6122336
Oahu_IC_Schofield,2025,2551742.05254539,.,37300.6122336
Oahu_IC_Schofield,2045,2426068.00256534,.,37300.6122336
Oahu_Kahe_1,1963,574324.697098231,.,10670.9741661095
Oahu_Kahe_2,1964,574324.697098231,.,10670.9741661095
Oahu_Kahe_3,1970,574324.697098231,.,10670.9741661095
Oahu_Kahe_4,1972,574324.697098231,.,10670.9741661095
Oahu_Kahe_5,1974,574324.697098231,.,10670.9741661095
Oahu_Kahe_6,1981,574324.697098231,.,10670.9741661095
Oahu_Kalaeloa_CC1,1989,692606.625121072,.,45905.322827792
Oahu_Kalaeloa_CC2,1991,692606.625121072,.,45905.322827792
Oahu_Kalaeloa_CC3,1991,692606.625121072,.,45905.322827792
