GENERATION_PROJECT,build_year,gen_predetermined_cap,gen_predetermined_storage_energy_mwh
Oahu_CentralTrackingPV_PV_01,2027,0.0,.
Oahu_CentralTrackingPV_PV_01,2028,0.0,.
Oahu_CentralTrackingPV_PV_01,2029,0.0,.
Oahu_CentralTrackingPV_PV_01,2030,0.0,.
Oahu_CentralTrackingPV_PV_01,2031,0.0,.
Oahu_CentralTrackingPV_PV_01,2032,0.0,.
Oahu_CentralTrackingPV_PV_01,2033,0.0,.
Oahu_CentralTrackingPV_PV_01,2034,0.0,.
Oahu_CentralTrackingPV_PV_01,2035,0.0,.
Oahu_CentralTrackingPV_PV_01,2036,0.0,.
Oahu_CentralTrackingPV_PV_01,2037,0.0,.
Oahu_CentralTrackingPV_PV_01,2038,0.0,.
Oahu_CentralTrackingPV_PV_01,2039,0.0,.
Oahu_CentralTrackingPV_PV_01,2040,0.0,.
Oahu_CentralTrackingPV_PV_01,2041,0.0,.
Oahu_CentralTrackingPV_PV_01,2042,1.0,.
Oahu_CentralTrackingPV_PV_01,2043,0.0,.
Oahu_CentralTrackingPV_PV_01,2044,0.0,.
Oahu_CentralTrackingPV_PV_01,2045,198.09969417527498,.
Oahu_CentralTrackingPV_PV_01,2046,0.0,.
Oahu_CentralTrackingPV_PV_01,2047,32.6,.
Oahu_CentralTrackingPV_PV_01,2048,0.0,.
Oahu_CentralTrackingPV_PV_01,2049,0.0,.
Oahu_CentralTrackingPV_PV_01,2050,10.43643458728858,.
Oahu_CentralTrackingPV_PV_02,2017,5.0,.
Oahu_CentralTrackingPV_PV_02,2020,5.0,.
Oahu_CentralTrackingPV_PV_02,2021,0.0,.
Oahu_CentralTrackingPV_PV_02,2022,0.0,.
Oahu_CentralTrackingPV_PV_02,2023,0.0,.
Oahu_CentralTrackingPV_PV_02,2024,0.0,.
Oahu_CentralTrackingPV_PV_02,2025,0.0,.
Oahu_CentralTrackingPV_PV_02,2026,0.0,.
Oahu_CentralTrackingPV_PV_02,2027,0.0,.
Oahu_CentralTrackingPV_PV_02,2028,0.0,.
Oahu_CentralTrackingPV_PV_02,2029,0.0,.
Oahu_CentralTrackingPV_PV_02,2030,0.0,.
Oahu_CentralTrackingPV_PV_02,2031,0.0,.
Oahu_CentralTrackingPV_PV_02,2032,0.0,.
Oahu_CentralTrackingPV_PV_02,2033,0.0,.
Oahu_CentralTrackingPV_PV_02,2034,0.0,.
Oahu_CentralTrackingPV_PV_02,2035,0.0,.
Oahu_CentralTrackingPV_PV_02,2036,0.0,.
Oahu_CentralTrackingPV_PV_02,2037,0.0,.
Oahu_CentralTrackingPV_PV_02,2038,0.0,.
Oahu_CentralTrackingPV_PV_02,2039,0.0,.
Oahu_CentralTrackingPV_PV_02,2040,0.0,.
Oahu_CentralTrackingPV_PV_02,2041,0.0,.
Oahu_CentralTrackingPV_PV_02,2042,0.0,.
Oahu_CentralTrackingPV_PV_02,2043,0.0,.
Oahu_CentralTrackingPV_PV_02,2044,0.0,.
Oahu_CentralTrackingPV_PV_02,2045,225.386587131752,.
Oahu_CentralTrackingPV_PV_02,2046,0.0,.
Oahu_CentralTrackingPV_PV_02,2047,0.0,.
Oahu_CentralTrackingPV_PV_02,2048,0.0,.
Oahu_CentralTrackingPV_PV_02,2049,0.0,.
Oahu_CentralTrackingPV_PV_02,2050,0.0,.
Oahu_CentralTrackingPV_PV_03,2012,1.0,.
Oahu_CentralTrackingPV_PV_03,2020,0.0,.
Oahu_CentralTrackingPV_PV_03,2021,0.0,.
Oahu_CentralTrackingPV_PV_03,2022,0.0,.
Oahu_CentralTrackingPV_PV_03,2023,0.0,.
Oahu_CentralTrackingPV_PV_03,2024,0.0,.
Oahu_CentralTrackingPV_PV_03,2025,0.0,.
Oahu_CentralTrackingPV_PV_03,2026,0.0,.
Oahu_CentralTrackingPV_PV_03,2027,0.0,.
Oahu_CentralTrackingPV_PV_03,2028,0.0,.
Oahu_CentralTrackingPV_PV_03,2029,0.0,.
Oahu_CentralTrackingPV_PV_03,2030,0.0,.
Oahu_CentralTrackingPV_PV_03,2031,0.0,.
Oahu_CentralTrackingPV_PV_03,2032,0.0,.
Oahu_CentralTrackingPV_PV_03,2033,0.0,.
Oahu_CentralTrackingPV_PV_03,2034,0.0,.
Oahu_CentralTrackingPV_PV_03,2035,0.0,.
Oahu_CentralTrackingPV_PV_03,2036,0.0,.
Oahu_CentralTrackingPV_PV_03,2037,0.0,.
Oahu_CentralTrackingPV_PV_03,2038,0.0,.
Oahu_CentralTrackingPV_PV_03,2039,0.0,.
Oahu_CentralTrackingPV_PV_03,2040,0.0,.
Oahu_CentralTrackingPV_PV_03,2041,0.0,.
Oahu_CentralTrackingPV_PV_03,2042,1.0,.
Oahu_CentralTrackingPV_PV_03,2043,0.0,.
Oahu_CentralTrackingPV_PV_03,2044,0.0,.
Oahu_CentralTrackingPV_PV_03,2045,14.157593329143536,.
Oahu_CentralTrackingPV_PV_03,2046,0.0,.
Oahu_CentralTrackingPV_PV_03,2047,0.0,.
Oahu_CentralTrackingPV_PV_03,2048,0.0,.
Oahu_CentralTrackingPV_PV_03,2049,0.0,.
Oahu_CentralTrackingPV_PV_03,2050,0.0,.
Oahu_CentralTrackingPV_PV_04,2012,5.0,.
Oahu_CentralTrackingPV_PV_04,2014,5.0,.
Oahu_CentralTrackingPV_PV_04,2020,0.0,.
Oahu_CentralTrackingPV_PV_04,2021,21.0,.
Oahu_CentralTrackingPV_PV_04,2022,112.8109474176687,.
Oahu_CentralTrackingPV_PV_04,2023,0.0,.
Oahu_CentralTrackingPV_PV_04,2024,0.0,.
Oahu_CentralTrackingPV_PV_04,2025,102.22371853733532,.
Oahu_CentralTrackingPV_PV_04,2026,0.0,.
Oahu_CentralTrackingPV_PV_04,2027,0.0,.
Oahu_CentralTrackingPV_PV_04,2028,0.0,.
Oahu_CentralTrackingPV_PV_04,2029,0.0,.
Oahu_CentralTrackingPV_PV_04,2030,0.0,.
Oahu_CentralTrackingPV_PV_04,2031,0.0,.
Oahu_CentralTrackingPV_PV_04,2032,0.0,.
Oahu_CentralTrackingPV_PV_04,2033,0.0,.
Oahu_CentralTrackingPV_PV_04,2034,0.0,.
Oahu_CentralTrackingPV_PV_04,2035,0.0,.
Oahu_CentralTrackingPV_PV_04,2036,0.0,.
Oahu_CentralTrackingPV_PV_04,2037,0.0,.
Oahu_CentralTrackingPV_PV_04,2038,0.0,.
Oahu_CentralTrackingPV_PV_04,2039,0.0,.
Oahu_CentralTrackingPV_PV_04,2040,0.0,.
Oahu_CentralTrackingPV_PV_04,2041,0.0,.
Oahu_CentralTrackingPV_PV_04,2042,5.0,.
Oahu_CentralTrackingPV_PV_04,2043,0.0,.
Oahu_CentralTrackingPV_PV_04,2044,5.0,.
Oahu_CentralTrackingPV_PV_04,2045,0.0,.
Oahu_CentralTrackingPV_PV_04,2046,0.0,.
Oahu_CentralTrackingPV_PV_04,2047,0.0,.
Oahu_CentralTrackingPV_PV_04,2048,0.0,.
Oahu_CentralTrackingPV_PV_04,2049,0.0,.
Oahu_CentralTrackingPV_PV_04,2050,0.0,.
Oahu_CentralTrackingPV_PV_05,2020,20.0,.
Oahu_CentralTrackingPV_PV_05,2021,0.0,.
Oahu_CentralTrackingPV_PV_05,2022,14.189052582331271,.
Oahu_CentralTrackingPV_PV_05,2023,0.0,.
Oahu_CentralTrackingPV_PV_05,2024,0.0,.
Oahu_CentralTrackingPV_PV_05,2025,0.0,.
Oahu_CentralTrackingPV_PV_05,2026,0.0,.
Oahu_CentralTrackingPV_PV_05,2027,0.0,.
Oahu_CentralTrackingPV_PV_05,2028,0.0,.
Oahu_CentralTrackingPV_PV_05,2029,0.0,.
Oahu_CentralTrackingPV_PV_05,2030,0.0,.
Oahu_CentralTrackingPV_PV_05,2031,0.0,.
Oahu_CentralTrackingPV_PV_05,2032,0.0,.
Oahu_CentralTrackingPV_PV_05,2033,0.0,.
Oahu_CentralTrackingPV_PV_05,2034,0.0,.
Oahu_CentralTrackingPV_PV_05,2035,0.0,.
Oahu_CentralTrackingPV_PV_05,2036,0.0,.
Oahu_CentralTrackingPV_PV_05,2037,0.0,.
Oahu_CentralTrackingPV_PV_05,2038,0.0,.
Oahu_CentralTrackingPV_PV_05,2039,0.0,.
Oahu_CentralTrackingPV_PV_05,2040,0.0,.
Oahu_CentralTrackingPV_PV_05,2041,0.0,.
Oahu_CentralTrackingPV_PV_05,2042,0.0,.
Oahu_CentralTrackingPV_PV_05,2043,0.0,.
Oahu_CentralTrackingPV_PV_05,2044,0.0,.
Oahu_CentralTrackingPV_PV_05,2045,0.0,.
Oahu_CentralTrackingPV_PV_05,2046,0.0,.
Oahu_CentralTrackingPV_PV_05,2047,0.0,.
Oahu_CentralTrackingPV_PV_05,2048,0.0,.
Oahu_CentralTrackingPV_PV_05,2049,0.0,.
Oahu_CentralTrackingPV_PV_05,2050,20.0,.
Oahu_CentralTrackingPV_PV_06,2012,1.0,.
Oahu_CentralTrackingPV_PV_06,2020,0.0,.
Oahu_CentralTrackingPV_PV_06,2021,0.0,.
Oahu_CentralTrackingPV_PV_06,2022,0.0,.
Oahu_CentralTrackingPV_PV_06,2023,0.0,.
Oahu_CentralTrackingPV_PV_06,2024,0.0,.
Oahu_CentralTrackingPV_PV_06,2025,0.0,.
Oahu_CentralTrackingPV_PV_06,2026,0.0,.
Oahu_CentralTrackingPV_PV_06,2027,0.0,.
Oahu_CentralTrackingPV_PV_06,2028,0.0,.
Oahu_CentralTrackingPV_PV_06,2029,0.0,.
Oahu_CentralTrackingPV_PV_06,2030,0.0,.
Oahu_CentralTrackingPV_PV_06,2031,0.0,.
Oahu_CentralTrackingPV_PV_06,2032,0.0,.
Oahu_CentralTrackingPV_PV_06,2033,0.0,.
Oahu_CentralTrackingPV_PV_06,2034,0.0,.
Oahu_CentralTrackingPV_PV_06,2035,0.0,.
Oahu_CentralTrackingPV_PV_06,2036,0.0,.
Oahu_CentralTrackingPV_PV_06,2037,0.0,.
Oahu_CentralTrackingPV_PV_06,2038,0.0,.
Oahu_CentralTrackingPV_PV_06,2039,0.0,.
Oahu_CentralTrackingPV_PV_06,2040,0.0,.
Oahu_CentralTrackingPV_PV_06,2041,0.0,.
Oahu_CentralTrackingPV_PV_06,2042,0.0,.
Oahu_CentralTrackingPV_PV_06,2043,0.0,.
Oahu_CentralTrackingPV_PV_06,2044,0.0,.
Oahu_CentralTrackingPV_PV_06,2045,0.0,.
Oahu_CentralTrackingPV_PV_06,2046,0.0,.
Oahu_CentralTrackingPV_PV_06,2047,0.0,.
Oahu_CentralTrackingPV_PV_06,2048,0.0,.
Oahu_CentralTrackingPV_PV_06,2049,0.0,.
Oahu_CentralTrackingPV_PV_06,2050,0.0,.
Oahu_CentralTrackingPV_PV_07,2016,6.5,.
Oahu_CentralTrackingPV_PV_07,2020,60.6,.
Oahu_CentralTrackingPV_PV_07,2021,0.0,.
Oahu_CentralTrackingPV_PV_07,2022,0.0,.
Oahu_CentralTrackingPV_PV_07,2023,0.0,.
Oahu_CentralTrackingPV_PV_07,2024,0.0,.
Oahu_CentralTrackingPV_PV_07,2025,0.0,.
Oahu_CentralTrackingPV_PV_07,2026,0.0,.
Oahu_CentralTrackingPV_PV_07,2027,0.0,.
Oahu_CentralTrackingPV_PV_07,2028,0.0,.
Oahu_CentralTrackingPV_PV_07,2029,0.0,.
Oahu_CentralTrackingPV_PV_07,2030,0.0,.
Oahu_CentralTrackingPV_PV_07,2031,0.0,.
Oahu_CentralTrackingPV_PV_07,2032,0.0,.
Oahu_CentralTrackingPV_PV_07,2033,0.0,.
Oahu_CentralTrackingPV_PV_07,2034,0.0,.
